phase	job_id	state	exit_code	elapsed	node	evidence_source
before_apply	19424174	RUNNING	0:0	00:50:44	node821	sole_procgen-3090_callback
after_apply	19424174	CANCELLED_by_778916	0:0	00:50:44	node821	sacct_reconciliation
