action_max,action_min,actor_direction_l2,actor_history_projection_l2,actor_kernel_mode,actor_relative_solve_residual,actor_system_rows,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,combined_clip_scale,critic_cholesky_info_max,critic_cross_blocks,critic_curvature_coef,critic_direction_l2,critic_ggn_quadratic,critic_history_projection_l2,critic_jacobi_scale_max,critic_jacobi_scale_min,critic_kernel_mode,critic_linear_solve_dtype,critic_objective_coef,critic_relative_solve_residual,critic_solve_residual,critic_solver_mode,critic_system_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,0.3925035893917084,90.61119842529297,paper_sampled_score_separate_b,0.00014766628737561405,512,-1.043086290359497,2.572167158126831,-1.0486557483673096,-4.596638202667236,0.5371454954147339,0.0,0.6020399332046509,0,0,0.1,0.7207024693489075,6.308072090148926,13.043070793151855,1.3186527025440598,0.5336725764982754,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.6869633628974e-14,6.247869613301862e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,1.542136788368225,141.72,1.9,1559,0.8305097222328186,0.05407994985580444,0.02802385576069355,0.21500810980796814,0.0001,9,40960,28.07552963681519,40960,1.0,1e-06,2.469326972961426,0.2383824586868286,0.7127698659896851,4.783698081970215,0.5781398415565491,-1.6510069370269775,1.15471613407135
14,0,0.34458044171333313,241.92369079589844,paper_sampled_score_separate_b,0.0004560748056974262,512,-1.2426745891571045,1.0509029626846313,-1.2578859329223633,-5.044396877288818,0.3052331507205963,0.0,0.7445505857467651,0,0,0.1,0.5800135135650635,21.91619110107422,32.625640869140625,1.2508868467412708,0.3793155484092259,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.3955280042931042e-14,5.662936729748541e-13,symmetric_jacobi_cholesky_fp64,512,0.0007593750000000001,1.2460397481918335,178.46,2.17,1552,0.6715460419654846,0.06228349357843399,-0.014237278141081333,0.10693676769733429,0.0005062500000000001,19,81920,55.023455403745174,81920,1.0,1e-06,3.0743372440338135,0.10000000149011612,0.3259352445602417,3.8280270099639893,0.11618829518556595,-1.2988229990005493,0.9466211795806885
14,0,2.6692373752593994,460.23040771484375,paper_sampled_score_separate_b,0.0002297003084095195,512,-1.34940505027771,0.8773446083068848,-1.3513044118881226,-4.698484420776367,0.2941329777240753,0.0,0.18597204983234406,0,0,0.1,0.6253392696380615,22.45956802368164,21.994945526123047,1.0902160094080662,0.2386217605647362,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.9988969309481634e-14,1.1706193256356216e-12,symmetric_jacobi_cholesky_fp64,512,0.00015000000000000004,0.7323046922683716,135.84,2.3,1564,2.6885759830474854,0.5817610025405884,0.03368983417749405,0.23100213706493378,0.00010000000000000003,29,122880,82.12538179568946,122880,1.0,1e-06,10.0,0.10000000149011612,0.2713930010795593,3.3907546997070312,0.12384824454784393,-1.519714117050171,0.8765929937362671
13,0,0.3711393177509308,412.35137939453125,paper_sampled_score_separate_b,0.0014542965218424797,512,-1.314725637435913,1.6571776866912842,-1.3777769804000854,-3.2315852642059326,0.2685956656932831,0.0,0.6814646124839783,0,0,0.1,0.6554396152496338,146.73046875,55.48927688598633,1.0474356530044087,0.21217581509046934,deterministic_value_jacobian_separate_b,torch.float64,1.0,3.013243687331918e-14,2.7182671151451134e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.8268281817436218,131.33,2.03,1565,0.7337138056755066,0.0596623495221138,-0.03140163794159889,0.3427836298942566,0.0001,39,163840,109.22349652089179,163840,1.0,1e-06,2.9317679405212402,0.1259051114320755,0.4190058708190918,3.5112075805664062,0.37374478578567505,-1.5671477317810059,1.1897746324539185
13,0,0.364427387714386,294.8415222167969,paper_sampled_score_separate_b,0.0007129947189241648,512,-1.20326828956604,0.9518831372261047,-1.2463970184326172,-2.722817897796631,0.16855736076831818,0.0,0.752548336982727,0,0,0.1,0.5621934533119202,36.59442138671875,46.11539077758789,0.9953795815952576,0.2216047357183186,deterministic_value_jacobian_separate_b,torch.float64,1.0,6.503925296421246e-14,3.129646357951859e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.9065912961959839,133.39,2.16,1566,0.6644091606140137,0.06748156249523163,-0.04754064232110977,0.3757825493812561,0.0001,49,204800,136.61423337087035,204800,1.0,1e-06,3.0521583557128906,0.16044491529464722,-0.07122409343719482,3.387981414794922,-0.3438366949558258,-1.7709108591079712,1.4512639045715332
13,0,0.3348259925842285,391.5112609863281,paper_sampled_score_separate_b,0.00027387059526517987,512,-1.2461848258972168,1.252510905265808,-1.2790029048919678,-3.30711030960083,0.21677923202514648,0.0,0.7305355668067932,0,0,0.1,0.5935094356536865,156.9626922607422,61.380218505859375,1.002339207281544,0.19082863284439164,deterministic_value_jacobian_separate_b,torch.float64,1.0,3.529547360488066e-14,3.2446060911968955e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.7880870699882507,132.64,2.13,1564,0.6844293475151062,0.05958669260144234,-0.02157020755112171,0.26035231351852417,0.0001,59,245760,163.9170147399418,245760,1.0,1e-06,3.264955759048462,0.2071811705827713,0.050042130053043365,3.0263590812683105,-0.15514561533927917,-2.06247878074646,1.1853407621383667
14,0,0.36617758870124817,338.0568542480469,paper_sampled_score_separate_b,0.0009692696621641517,512,-1.285600185394287,0.9355805516242981,-1.3102930784225464,-3.5612757205963135,0.23653492331504822,0.0,0.7297319769859314,0,0,0.1,0.6051801443099976,74.69956970214844,51.82400131225586,1.0035035396930867,0.17905906924428705,deterministic_value_jacobian_separate_b,torch.float64,1.0,3.479117881888522e-14,2.246839327582032e-12,symmetric_jacobi_cholesky_fp64,512,0.00015000000000000004,0.7988521456718445,208.53,2.62,1411,0.685183048248291,0.05481957644224167,0.004516439512372017,0.10054284334182739,0.00010000000000000003,69,286720,191.2786403479986,286720,1.0,1e-06,3.278542995452881,0.12761148810386658,0.16783086955547333,3.1025948524475098,0.09772825986146927,-1.5176440477371216,1.096469759941101
13,0,0.3524923622608185,170.96302795410156,paper_sampled_score_separate_b,0.00022189666924532503,512,-1.289971113204956,1.4856784343719482,-1.30295729637146,-3.486980676651001,0.28691762685775757,0.0,0.661069929599762,0,0,0.1,0.6515084505081177,21.67562484741211,23.084508895874023,0.9618431668938887,0.17258271354976487,deterministic_value_jacobian_separate_b,torch.float64,1.0,9.642047981102285e-14,3.759350589100269e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.7990403175354004,217.24,2.51,1402,0.7563496232032776,0.048719361424446106,0.030880551785230637,0.10755329579114914,0.0001,79,327680,218.219670873601,327680,1.0,1e-06,5.513042449951172,0.25618764758110046,0.36168336868286133,3.0491013526916504,0.37538957595825195,-1.5829195976257324,0.9118102788925171
14,0,0.4107411801815033,171.902099609375,paper_sampled_score_separate_b,0.0004169828607700765,512,-1.363281488418579,0.5805734992027283,-1.3488034009933472,-3.9089653491973877,0.2051551342010498,0.0,0.6955600380897522,0,0,0.1,0.5933874845504761,23.511978149414062,26.372129440307617,0.8925021861798801,0.16968570003333347,deterministic_value_jacobian_separate_b,torch.float64,1.0,7.765758766986097e-14,3.0755466199293407e-12,symmetric_jacobi_cholesky_fp64,512,0.00022500000000000005,0.8049480319023132,220.51,2.78,1562,0.7188451886177063,0.03984978049993515,0.01773444563150406,0.09799140691757202,0.00022500000000000005,89,368640,245.1725636930205,368640,1.0,1e-06,3.0659327507019043,0.10218018293380737,0.13391540944576263,4.18064546585083,0.0006135437288321555,-1.5327702760696411,0.8811023235321045
13,0,0.4310559630393982,227.78057861328125,paper_sampled_score_separate_b,0.0005518600810319185,512,-1.2262828350067139,0.6700396537780762,-1.2296074628829956,-4.009634971618652,0.15585008263587952,0.0,0.7219082713127136,0,0,0.1,0.4988027513027191,25.585899353027344,33.10478591918945,0.7885174630400605,0.16593773176585586,deterministic_value_jacobian_separate_b,torch.float64,1.0,7.102252113583858e-14,2.8209894505678774e-12,symmetric_jacobi_cholesky_fp64,512,0.0001,0.6625583171844482,169.42,2.68,1476,0.6926087737083435,0.05980515107512474,-0.07306945323944092,0.06839342415332794,0.0001,99,409600,272.5034273499623,409600,1.0,1e-06,3.9067447185516357,0.18254096806049347,0.17845183610916138,3.4055352210998535,-0.18142689764499664,-1.786626935005188,1.4874067306518555
