19424176|pg46-coin|h99859yz|RUNNING|0:0|26/08/26 11:47|Unknown|01:35:16|node822
19425987|pg47-bf|h99859yz|CANCELLED by 778916|0:0|26/08/26 12:25|26/08/26 13:20|00:54:42|node820
19425988|pg47-boss|h99859yz|CANCELLED by 778916|0:0|26/08/26 12:25|26/08/26 13:00|00:34:55|node821
19425989|pg47-cave|h99859yz|CANCELLED by 778916|0:0|26/08/26 12:25|26/08/26 13:00|00:34:55|node821
19425990|pg47-coin|h99859yz|RUNNING|0:0|26/08/26 13:00|Unknown|00:22:06|node822
