action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_fisher_quadratic,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_rhs_weight,joint_direction_l2,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_predicted_value_divergence,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.9098657369613647,0.779590368270874,-0.9037997126579285,-2.253901720046997,0.045350853353738785,0.0,1.0,1.0,512,0.3333333333333333,1.6224994659423828,453.2278481012658,2.658228,203,1.6019341945648193,0.21174000203609467,1.7344401795263398e-13,0,0.3121226727962494,0.1,12.070602416992188,10.0,31.622776601683793,1.6019341945648193,1.4140971254566497,0.48682876456887925,exact_deterministic_ggn_2b,torch.float64,0.001145990565419197,0.006532916333526373,1.855125831786642e-15,1.629618098246003e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.037805721163749695,-0.010589852929115295,0.017558690160512924,0.3333333333333333,9,40960,204.58295920817181,40960,1.0,1e-06,paper_sgd_momentum_1e-6,2.377570390701294,0.11819320917129517,0.05190283805131912,4.68952751159668,-0.18654826283454895,-0.8834357857704163,0.6648823618888855
14,0,-1.1421188116073608,0.04140237718820572,-1.1212807893753052,-3.8691742420196533,0.051477327942848206,0.0,1.0,1.0,512,0.2222222222222222,1.6532881259918213,501.25,1.9,202,1.6726322174072266,0.32143640518188477,1.86389566903193e-13,0,0.2989300489425659,0.1,6.452577114105225,10.0,31.622776601683793,1.672632098197937,1.413375121143846,0.4507050567265553,exact_deterministic_ggn_2b,torch.float64,0.0007092170999385417,0.0014236961724236608,2.2988249936482597e-15,1.9225051508774406e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.03561592102050781,0.18911485373973846,0.012269113212823868,0.2222222222222222,19,81920,406.9882499552332,81920,1.0,1e-06,paper_sgd_momentum_1e-6,10.0,0.47700053453445435,0.5563443899154663,5.215042591094971,0.31026846170425415,-1.089735746383667,0.7671090960502625
14,0,-1.3009402751922607,2.1416633129119873,-1.2938120365142822,-3.0261523723602295,0.1477535367012024,0.0,1.0,1.0,512,0.3333333333333333,1.2832348346710205,564.61,2.0,203,1.714572548866272,0.31871968507766724,1.553532236417653e-13,0,0.29161790013313293,0.1,3.266637086868286,10.0,31.622776601683793,1.7145724296569824,1.413279088204889,0.35307904106309307,exact_deterministic_ggn_2b,torch.float64,0.001505791093222797,0.0015433226944878697,1.2116873892490774e-15,1.6319669061549218e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.035946592688560486,-0.1567896604537964,0.031838398426771164,0.3333333333333333,29,122880,609.604683144018,122880,1.0,1e-06,paper_sgd_momentum_1e-6,4.329988956451416,0.3746941089630127,0.4373573064804077,4.91615629196167,0.27630552649497986,-1.253456950187683,0.521244466304779
14,0,-1.4964920282363892,-0.38502025604248047,-1.4894030094146729,-5.648343563079834,0.05856108292937279,0.0,1.0,1.0,512,0.5,0.9790933728218079,663.69,1.2,203,4.363805294036865,0.9533307552337646,3.603959164926747e-13,0,0.11457889527082443,0.1,40.49925994873047,10.0,31.622776601683793,4.363805294036865,1.4130616501919429,0.2664323359334213,exact_deterministic_ggn_2b,torch.float64,0.0015644542872905731,0.006646092515438795,1.97780328154216e-15,3.406324498217759e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.026390228420495987,0.010861949995160103,0.06733766198158264,0.5,39,163840,812.3134079743177,163840,1.0,1e-06,paper_sgd_momentum_1e-6,8.823614120483398,0.40283507108688354,0.4909361004829407,5.191799163818359,0.3161342442035675,-1.4609347581863403,0.7850487232208252
14,0,-1.6078073978424072,4.039877891540527,-1.597349762916565,-3.315929651260376,0.07551554590463638,0.0,1.0,1.0,512,0.06584362139917697,0.49095356464385986,744.48,1.3,203,0.7049328684806824,0.05847626551985741,5.350774138107216e-14,0,0.7092874050140381,0.1,0.09899584203958511,10.0,31.622776601683793,0.7049328684806824,1.4138080542667957,0.6684036258535965,exact_deterministic_ggn_2b,torch.float64,6.377074896590784e-05,1.0795899470394943e-05,7.463124394273653e-16,5.013566152058813e-14,symmetrized_jacobi_fullfp64_chunked,1024,0.037163447588682175,-0.024714859202504158,0.009082024917006493,0.06584362139917697,49,204800,1014.1692686411552,204800,1.0,1e-06,paper_sgd_momentum_1e-6,1.446859359741211,0.17204499244689941,-0.39877405762672424,5.335534572601318,-0.4946557581424713,-1.5705169439315796,0.33846116065979004
14,0,-1.4839465618133545,-0.9454746246337891,-1.4659886360168457,-2.829524278640747,0.020273800939321518,0.0,1.0,1.0,512,0.3333333333333333,1.346806287765503,695.81,1.2,202,15.828574180603027,9.69416332244873,1.3218892613165137e-12,0,0.031588442623615265,0.1,3551.07763671875,10.0,31.622776601683793,15.828574180603027,1.41301295095603,0.6524166626230086,exact_deterministic_ggn_2b,torch.float64,0.0005373957683332264,0.019685393199324608,2.2282637393357217e-15,1.3286168145050933e-12,symmetrized_jacobi_fullfp64_chunked,1024,0.04425131529569626,-0.04436996206641197,0.7152854204177856,0.2222222222222222,59,245760,1216.3853919040412,245760,1.0,1e-06,paper_sgd_momentum_1e-6,1.9872103929519653,0.6421838402748108,0.358564168214798,5.420812129974365,-0.5760786533355713,-1.4344877004623413,4.639665603637695
14,0,-1.472813606262207,1.8047298192977905,-1.4528441429138184,-2.7417378425598145,0.06171021983027458,0.0,1.0,1.0,512,0.5,0.9789174795150757,655.58,1.3,203,3.2143280506134033,0.20959320664405823,1.2688944808626844e-13,0,0.15555350482463837,0.1,16.799121856689453,10.0,31.622776601683793,3.2143280506134033,1.4133305729811516,0.5908325882068597,exact_deterministic_ggn_2b,torch.float64,0.0006339380634017289,0.0050810822285711765,8.878679737523297e-16,1.3055932490289141e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.013106058351695538,-0.014798521995544434,0.040952764451503754,0.5,69,286720,1418.5619791829959,286720,1.0,1e-06,paper_sgd_momentum_1e-6,2.6883788108825684,0.5976508259773254,-0.03359869867563248,5.391026020050049,-0.16915883123874664,-1.4235420227050781,0.3718850910663605
14,0,-1.5847586393356323,-1.0665868520736694,-1.5562282800674438,-4.464580059051514,0.04507429152727127,0.0,1.0,1.0,512,0.5,0.7223777174949646,752.92,0.7,204,3.414141893386841,0.1680714190006256,1.4467107853057083e-13,0,0.14644969999790192,0.1,20.04242706298828,10.0,31.622776601683793,3.4141416549682617,1.4133964521239388,0.5685356517162805,exact_deterministic_ggn_2b,torch.float64,0.0004505892866291106,0.005373253487050533,9.202287764317723e-16,1.376070033251038e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.013833131641149521,-0.008919596672058105,0.049575041979551315,0.5,79,327680,1620.4466155981645,327680,1.0,1e-06,paper_sgd_momentum_1e-6,1.7388660907745361,0.5235975980758667,0.40030762553215027,2.7313942909240723,0.37612292170524597,-1.5169368982315063,0.3906043469905853
14,0,-1.6924643516540527,-0.756890594959259,-1.6530965566635132,-4.791819095611572,0.05458172783255577,0.0,1.0,1.0,512,0.5,0.476260244846344,769.12,0.7,203,4.187911510467529,0.20748168230056763,1.5882928734955848e-13,0,0.11939125508069992,0.1,42.574546813964844,10.0,31.622776601683793,4.187911510467529,1.413568603379196,0.4311269894849162,exact_deterministic_ggn_2b,torch.float64,0.0003696875355672091,0.00758586497977376,8.98378523638148e-16,1.6209417817946567e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.026430286467075348,0.011600460857152939,0.0630088746547699,0.5,89,368640,1822.1418868931942,368640,1.0,1e-06,paper_sgd_momentum_1e-6,10.0,0.34669098258018494,0.3440272808074951,1.5607026815414429,0.24991671741008759,-1.6042195558547974,0.3345189690589905
14,0,-1.8084052801132202,-1.1762746572494507,-1.7485970258712769,-4.513594627380371,0.07689398527145386,0.0,1.0,1.0,512,0.06584362139917695,0.6630936861038208,772.47,0.5,203,0.6918928027153015,0.04774977266788483,5.944038880474354e-14,0,0.7226553559303284,0.1,0.3844592571258545,10.0,31.622776601683793,0.6918927431106567,1.4134533335276696,0.3267289183851243,exact_deterministic_ggn_2b,torch.float64,5.4054409702075645e-05,4.35221336374525e-05,4.609986062689133e-16,6.982527004519901e-14,symmetrized_jacobi_fullfp64_chunked,1024,0.042910512536764145,-0.022874804213643074,0.0314994677901268,0.0438957475994513,99,409600,2024.0932703809813,409600,1.0,1e-06,paper_sgd_momentum_1e-6,8.857671737670898,0.37221625447273254,0.4515572488307953,2.1130387783050537,0.43654265999794006,-1.6962891817092896,0.2969389259815216
