action_max,action_min,actor_direction_l2,actor_history_projection_l2,actor_kernel_mode,actor_relative_solve_residual,actor_system_rows,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,combined_clip_scale,critic_cholesky_info_max,critic_cross_blocks,critic_curvature_coef,critic_direction_l2,critic_ggn_quadratic,critic_history_projection_l2,critic_jacobi_scale_max,critic_jacobi_scale_min,critic_kernel_mode,critic_linear_solve_dtype,critic_objective_coef,critic_relative_solve_residual,critic_solve_residual,critic_solver_mode,critic_system_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,0.2199406921863556,420.45941162109375,paper_sampled_score_separate_b,3.2867716072360054e-05,512,0.06052229180932045,0.1012304350733757,0.06375617533922195,0.026681968942284584,0.00017329172987956554,0.0,1.0,0,0,0.1,0.3231138586997986,82.71881103515625,63.39019012451172,1.26492964390405,1.2082546701264776,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.9478703629341584e-16,1.9306392146564517e-14,symmetric_jacobi_cholesky_fp64,512,0.00022500000000000005,1.2187108993530273,976.2424242424242,0.0,1556,0.39161843061447144,0.07483159005641937,-0.02038831263780594,0.0009528880473226309,0.00015000000000000004,9,40960,27.192137375008315,40960,1.0,1e-06,1.387394905090332,0.247963547706604,0.046402737498283386,0.08830583840608597,0.04419482871890068,0.024567702785134315,0.0001269189378945157
14,0,0.34890738129615784,536.3535766601562,paper_sampled_score_separate_b,5.586040060734376e-05,512,0.015400584787130356,0.06073412671685219,0.01788301020860672,-0.07714158296585083,0.0002992466033902019,0.0,1.0,0,0,0.1,0.35905584692955017,146.60972595214844,83.4261703491211,1.2249372407059034,1.1415265131579713,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.7889195331511274e-16,2.427100906377381e-14,symmetric_jacobi_cholesky_fp64,512,0.0005062500000000001,0.7468465566635132,990.2,0.0,1558,0.49236997961997986,0.09639443457126617,-0.09046849608421326,0.0027359595987945795,0.00033750000000000007,19,81920,53.86643542489037,81920,1.0,1e-06,8.88710880279541,0.21621786057949066,0.069607213139534,0.10404805839061737,0.070464126765728,0.019351305440068245,0.00019481676281429827
14,0,0.20427733659744263,8.735095977783203,paper_sampled_score_separate_b,6.124567448750895e-07,512,0.03279930725693703,0.08861732482910156,0.031818896532058716,-0.02196727693080902,0.00021552205726038665,0.0,1.0,0,0,0.1,0.06854153424501419,0.05694769695401192,1.0922155380249023,1.4106285308243427,1.4063128512495497,deterministic_value_jacobian_separate_b,torch.float64,1.0,4.204059948482858e-16,1.052981436705265e-15,symmetric_jacobi_cholesky_fp64,512,0.002562890625,2.6752238273620605,1000.0,0.0,1553,0.20895257592201233,0.05999051406979561,-0.013243746012449265,0.000435391761129722,0.00170859375,29,122880,80.98175994679332,122880,1.0,1e-06,2.185743808746338,0.5746676921844482,-0.08908753097057343,-0.05110260471701622,-0.08968736231327057,-0.11216935515403748,7.134516636142507e-05
9,8,0.3835233151912689,887.796630859375,paper_sampled_score_separate_b,0.002464347518980503,512,-0.3492102026939392,1.7887177467346191,-0.31731149554252625,-3.511664628982544,0.04287875443696976,0.0,0.9437126517295837,0,0,0.1,0.34712979197502136,360.27838134765625,132.81234741210938,1.0720249754614628,0.6515406794960911,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.419147981730962e-15,1.9352305153486893e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,0.12354544550180435,150.63,2.7,1563,0.5298222899436951,0.11104463040828705,-0.22533711791038513,0.028450846672058105,0.0001,39,163840,108.06140296114609,163840,1.0,1e-06,0.9999068975448608,0.22142858803272247,2.3379669189453125,6.717508792877197,1.4551516771316528,-0.2827129364013672,4.086735725402832
9,8,0.1625172346830368,181.0885009765625,paper_sampled_score_separate_b,0.0005199621664360166,512,-0.6014387607574463,2.3418800830841064,-0.49621883034706116,-5.718082904815674,0.8350255489349365,0.0,0.6807251572608948,0,0,0.1,0.7251145243644714,9.092397689819336,15.50075912475586,0.492218257816167,0.1966678974943871,deterministic_value_jacobian_separate_b,torch.float64,1.0,2.5846208970909123e-13,1.1174686878255746e-11,symmetric_jacobi_cholesky_fp64,512,0.0001,0.03619176894426346,74.41,6.1,1559,0.7345108389854431,4.0367751121521,-0.3174630403518677,0.3157205581665039,0.0001,49,204800,135.16095028910786,204800,1.0,1e-06,10.0,0.10000000149011612,2.6948459148406982,4.423603057861328,2.8231630325317383,-0.4736391603946686,0.9778164029121399
14,0,1.8318969011306763,247.77127075195312,paper_sampled_score_separate_b,0.0001419405307387933,512,-0.701508104801178,0.06113186106085777,-0.709159255027771,-1.0869137048721313,0.01263434998691082,0.0,0.27222785353660583,0,0,0.1,0.10530442744493484,11.630939483642578,26.18004608154297,1.0347151116176843,0.539032723384383,deterministic_value_jacobian_separate_b,torch.float64,1.0,7.311491789592357e-15,1.8167252102205505e-13,symmetric_jacobi_cholesky_fp64,512,0.00010000000000000003,0.6470039486885071,351.83,4.0,1564,1.8366966247558594,0.14223957061767578,-0.19753754138946533,0.02074289321899414,0.0001,59,245760,162.2244957271032,245760,1.0,1e-06,10.0,0.16741737723350525,1.7842020988464355,2.417417287826538,1.9571971893310547,0.2802029252052307,0.2802904546260834
14,0,0.44445618987083435,310.9322814941406,paper_sampled_score_separate_b,0.0002154888934455812,512,-0.9488449096679688,-0.6951591372489929,-0.8611552119255066,-3.2979180812835693,0.10156790167093277,0.0,0.7617175579071045,0,0,0.1,0.3618803918361664,76.15217590332031,50.44282913208008,1.100672043510024,0.7021764601142988,deterministic_value_jacobian_separate_b,torch.float64,1.0,5.876907144125254e-15,3.905188302502732e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,1.6671009063720703,759.14,1.7,1558,0.6564112901687622,0.10140348970890045,-0.08569930493831635,0.11951100826263428,0.0001,69,286720,189.02609462477267,286720,1.0,1e-06,2.291567325592041,0.3124137818813324,1.2484080791473389,1.6803616285324097,1.3210774660110474,-0.8072018623352051,0.13752372562885284
14,0,0.40001407265663147,410.6000061035156,paper_sampled_score_separate_b,0.0003200518840458244,512,-0.9924114942550659,-0.8070133328437805,-0.9801643490791321,-3.3061156272888184,0.027201805263757706,0.0,1.0,0,0,0.1,0.23363256454467773,113.52177429199219,62.949012756347656,1.0521452470706059,0.7426351320502356,deterministic_value_jacobian_separate_b,torch.float64,1.0,3.1607392258278424e-15,2.4443631854195616e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,1.438072681427002,937.49,0.2,1557,0.4574306011199951,0.08299075067043304,-0.012102361768484116,0.06438291072845459,0.0001,79,327680,215.52446164004505,327680,1.0,1e-06,2.9046740531921387,0.10398449003696442,1.2152761220932007,1.4662309885025024,1.2370010614395142,-0.9290723204612732,0.03892938047647476
14,0,0.3963787257671356,843.6712036132812,paper_sampled_score_separate_b,0.00018134835409000516,512,-1.085369348526001,-0.9683256149291992,-1.0643417835235596,-2.473348617553711,0.018611768260598183,0.0,0.9592382907867432,0,0,0.1,0.3391343951225281,402.9342041015625,130.67115783691406,1.04934617126365,0.8032393929674587,deterministic_value_jacobian_separate_b,torch.float64,1.0,1.1302828557976407e-15,1.6276702565612747e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,1.308829426765442,1000.0,0.0,1398,0.5212469100952148,0.07191742956638336,-0.05045944079756737,0.045359574258327484,0.0001,89,368640,242.3389027970843,368640,1.0,1e-06,2.6245527267456055,0.4227476716041565,0.2825527787208557,0.47703826427459717,0.27086910605430603,-1.0392147302627563,0.020205268636345863
14,0,0.2960714101791382,157.33868408203125,paper_sampled_score_separate_b,5.926291487412527e-05,512,-1.1505814790725708,-1.0524258613586426,-1.1270357370376587,-2.435955047607422,0.015491336584091187,0.0,1.0,0,0,0.1,0.12161340564489365,11.465007781982422,21.026039123535156,1.1378525879572645,0.7658785473049589,deterministic_value_jacobian_separate_b,torch.float64,1.0,6.815159813602207e-15,1.7724000385835906e-13,symmetric_jacobi_cholesky_fp64,512,0.0001,0.7957561016082764,1000.0,0.0,1561,0.32255178689956665,0.0742088034749031,-0.02715742588043213,0.018747754395008087,0.0001,99,409600,268.92345182504505,409600,1.0,1e-06,2.1369259357452393,0.16000762581825256,0.1404781937599182,0.21556712687015533,0.1698453724384308,-1.1026748418807983,0.015976285561919212
