action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,critic_trust_reason,critic_trust_update_count_this_rollout,critic_trust_update_count_total,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_critic_cross_frobenius,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_actor_rhs_norm,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_actor_cross_frobenius,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_critic_rhs_norm,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_normalized_value_prediction_change_rms,joint_optimizer_state_entries,joint_parameter_columns,joint_policy_delta_l2,joint_popart_std,joint_predicted_critic_divergence,joint_predicted_step_kl,joint_raw_value_prediction_change_rms,joint_relative_solve_residual,joint_shared_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_delta_l2,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.18375983834266663,17.03575325012207,-0.33995547890663147,-0.8868332505226135,1.4628684520721436,0.0,1.0,1.0,512,IN_BAND_UNCHANGED,1,10,0.004,2.699549674987793,561.4918032786885,2.1311476,643,0.8785321116447449,2.552620845088048,1.4593596458435059,55.50651931762695,22.627416610717773,5.89576774201588e-14,0,0.5697729587554932,2.552620845088048,0.09519276767969131,1.0,24.502269744873047,21.802623748779297,2.552620845088048,0.8775425553321838,1.0,1.412838444410663,1.4067994065767209,exact_deterministic_ggn_2b,torch.float64,0.0006977859884500504,26,938976,0.0008031557081267238,0.5585331916809082,2.472279732046445e-07,3.790146593019017e-06,0.00038973664049990475,3.5344195953456854e-16,0.0017714108107611537,6.860396358914656e-14,symmetrized_jacobi_fullfp64_chunked,1024,0.000465870660264045,0.00035128253512084484,-0.0003326199948787689,0.9284265041351318,0.004,9,40960,64.49698064289987,40960,1.0,1e-06,paper_sgd_momentum_1e-6,1.0880193710327148,0.9251136183738708,0.3082083463668823,17.573640823364258,0.14794202148914337,-0.33039700984954834,1.4797121286392212
14,0,-0.658177375793457,-0.49560365080833435,-0.634422242641449,-1.7913504838943481,0.012155543081462383,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,20,0.004,2.693727731704712,563.44,1.33,643,0.7044811248779297,4.515623195380471,1.1091749668121338,69.34014892578125,22.62741470336914,1.167013469173211e-13,0,0.7092062830924988,4.515623195380471,0.011607043445110321,1.0,43.58032989501953,2.6318368911743164,4.515623195380471,0.7050135135650635,1.0,1.4134038119927377,1.408790121521079,exact_deterministic_ggn_2b,torch.float64,0.00032311276299878955,26,938976,0.0009509098599664867,0.5186934471130371,4.6704297318456156e-08,4.46308604296064e-06,0.00016759647405706346,6.401198778961076e-16,0.0017529088072478771,1.2203923048447732e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0001518831413704902,0.000711393600795418,-0.0016289148479700089,0.013528447598218918,0.004,19,81920,128.32930983696133,81920,1.0,1e-06,paper_sgd_momentum_1e-6,1.1094309091567993,0.9298553466796875,0.26944154500961304,0.5716918706893921,0.28042396903038025,-0.6167641282081604,0.025250375270843506
14,0,-0.7938295602798462,14.155197143554688,-0.8254885077476501,-2.838848829269409,0.5887091755867004,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,30,0.004,2.6755146980285645,596.1,2.1,642,0.9664104580879211,10.796956795157485,4.226691722869873,134.9918212890625,22.627418518066406,1.7774095892997143e-13,0,0.5159411430358887,10.796956795157485,3.2043066024780273,1.0,110.11393737792969,11.756294250488281,10.796956795157485,0.9691027402877808,1.0,1.412921948735664,1.4035697004423227,exact_deterministic_ggn_2b,torch.float64,0.0037560497876256704,26,938976,0.0009670972940512002,0.6020355224609375,6.823771400377154e-06,9.001004400488455e-06,0.002261275425553322,8.708571578204666e-16,0.0017025836277753115,1.4390413096375758e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0004073437594342977,0.0014488007873296738,-0.005021415650844574,0.2699422836303711,0.004,29,122880,192.27371440222487,122880,1.0,1e-06,paper_sgd_momentum_1e-6,1.123753547668457,0.8893471360206604,0.6388131380081177,15.808927536010742,0.6106303334236145,-0.8013883829116821,0.6277261972427368
14,0,-0.9520506858825684,13.631113052368164,-0.9828156232833862,-2.8941502571105957,0.5543146133422852,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,40,0.004,2.6676864624023438,598.64,1.7,630,1.1374574899673462,13.23687788694718,8.35405158996582,156.33888244628906,22.627416610717773,1.3277545856498712e-13,0,0.4397251307964325,13.23687788694718,0.3278721570968628,1.0,130.54978942871094,18.56563377380371,13.23687788694718,1.1370739936828613,1.0,1.4128567797644205,1.401100837746999,exact_deterministic_ggn_2b,torch.float64,0.0010395424906164408,26,938976,0.0009255713666789234,0.607395589351654,5.071741497886251e-07,1.2922595487907529e-05,0.0006314135389402509,5.672992212473286e-16,0.001751598552800715,1.5590967301623657e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0002742481592576951,0.001355019398033619,-0.0001471005380153656,0.673208475112915,0.004,39,163840,256.4482764871791,163840,1.0,1e-06,paper_sgd_momentum_1e-6,1.1879600286483765,0.8989935517311096,0.5369610786437988,15.503925323486328,0.526969313621521,-0.9598097801208496,0.6721029281616211
14,0,-1.1043063402175903,3.9669368267059326,-1.1306498050689697,-2.686260223388672,0.13087433576583862,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,50,0.004,2.646238327026367,635.39,1.4,640,0.7936515212059021,13.889592669162036,4.065223693847656,164.62046813964844,22.627416610717773,9.029895221569139e-14,0,0.6320694088935852,13.889592669162036,0.055149175226688385,1.0,131.05552673339844,8.056257247924805,13.889592669162036,0.7910523414611816,1.0,1.412040411722435,1.4018872326046243,exact_deterministic_ggn_2b,torch.float64,0.0006943227490410209,26,938976,0.0009287027642130852,0.5890660881996155,1.762619490364159e-07,1.2992836673220154e-05,0.00040900197927840054,4.695276154987045e-16,0.0017587491311132908,8.87840168280961e-14,symmetrized_jacobi_fullfp64_chunked,1024,0.0002104992454405874,0.00243587139993906,-0.003494551405310631,0.1267642080783844,0.004,49,204800,320.6701383460313,204800,1.0,1e-06,paper_sgd_momentum_1e-6,1.1862469911575317,0.8429148197174072,0.3638644218444824,5.305814266204834,0.31165966391563416,-1.1075066328048706,0.16007451713085175
14,0,-1.2747377157211304,-0.9934238791465759,-1.2370362281799316,-3.357294797897339,0.03625091165304184,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,60,0.004,2.632838726043701,695.94,1.44,641,1.0164777040481567,15.74713584333861,6.947931289672852,219.9039306640625,22.62741470336914,9.795026289090635e-14,0,0.4923233091831207,15.74713584333861,0.08051925897598267,1.0,175.80128479003906,4.487334251403809,15.74713584333861,1.0155928134918213,1.0,1.4117984153414826,1.3961407955609104,exact_deterministic_ggn_2b,torch.float64,0.0006065068300813437,26,938976,0.0008757456671446562,0.5768766403198242,1.5613150594617764e-07,1.3472441423800774e-05,0.00034987961407750845,5.310980480768484e-16,0.0017940264660865068,1.134962802591571e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00012055628030793741,0.0028589358553290367,-0.005117836873978376,0.03932845592498779,0.004,59,245760,384.7703466252424,245760,1.0,1e-06,paper_sgd_momentum_1e-6,1.1382503509521484,0.889312207698822,0.35640883445739746,0.8944554328918457,0.38581225275993347,-1.1999502182006836,0.08096835017204285
14,0,-1.379433512687683,-0.9806903600692749,-1.321738362312317,-3.4673447608947754,0.06990401446819305,0.0,1.0,1.0,512,IN_BAND_UNCHANGED,1,70,0.004,2.6064772605895996,688.83,1.58,640,1.0687884092330933,22.860890591948653,9.030645370483398,301.05035400390625,22.627418518066406,9.525989026898032e-14,0,0.47114697098731995,22.860890591948653,0.6232365369796753,1.0,243.08677673339844,6.288244247436523,22.860890591948653,1.0612399578094482,1.0,1.411184050345706,1.3920376133522165,exact_deterministic_ggn_2b,torch.float64,0.0016194975469261408,26,938976,0.0008050992037169635,0.5662830471992493,1.1067658078900422e-06,1.60369436343899e-05,0.000917094002943486,5.075928872989659e-16,0.0018234611488878727,8.600687962964995e-14,symmetrized_jacobi_fullfp64_chunked,1024,0.0001636887463973835,0.004197297617793083,-0.006889402866363525,0.07723049819469452,0.004,69,286720,448.7913980628364,286720,1.0,1e-06,paper_sgd_momentum_1e-6,1.1833754777908325,0.7812895178794861,0.3432839512825012,1.2073500156402588,0.32927873730659485,-1.281286597251892,0.13841307163238525
14,0,-1.3154751062393188,15.181063652038574,-1.3806711435317993,-2.6653263568878174,0.6803458333015442,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,80,0.004,2.5513203144073486,692.09,0.85,639,1.342482566833496,24.64956606477445,13.538339614868164,324.0683898925781,22.627418518066406,7.448066627444517e-14,0,0.37093019485473633,24.64956606477445,1.92848539352417,1.0,235.2783203125,19.85509490966797,24.64956606477445,1.347962498664856,1.0,1.411958647024684,1.391411864200666,exact_deterministic_ggn_2b,torch.float64,0.0020350224804133177,26,938976,0.0007805617642588913,0.5411713719367981,2.1227103843557416e-06,1.4901836948411074e-05,0.001101295929402113,3.0937578978353517e-16,0.0018046016339212656,1.0917909460802881e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00036623640335164964,0.0010599587112665176,-0.003006342798471451,0.7699702978134155,0.004,79,327680,513.2281260429882,327680,1.0,1e-06,paper_sgd_momentum_1e-6,1.1155575513839722,0.8749293684959412,-0.027367042377591133,17.128910064697266,-0.13910645246505737,-1.3495241403579712,0.8344671130180359
14,0,-1.4705978631973267,-1.1048442125320435,-1.4182254076004028,-3.2527856826782227,0.056376442313194275,0.0,1.0,1.0,512,IN_BAND_UNCHANGED,1,90,0.004,2.530565023422241,610.34,1.04,640,1.3619871139526367,30.137143882368925,18.559375762939453,442.5189208984375,22.62741470336914,1.0586224175048254e-13,0,0.3687305748462677,30.137143882368925,0.5188862681388855,1.0,339.3892822265625,5.171462535858154,30.137143882368925,1.3560036420822144,1.0,1.4111903999202295,1.374777174054047,exact_deterministic_ggn_2b,torch.float64,0.0011999191483482718,26,938976,0.0006604795344173908,0.5316200852394104,5.643915415021183e-07,2.0186997062410228e-05,0.0006379011319950223,5.710891544889946e-16,0.0018824897706508636,1.0017156543542569e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00014138928963802755,0.004228226840496063,-0.0010685995221138,0.05223442241549492,0.004,89,368640,577.4501512479037,368640,1.0,1e-06,paper_sgd_momentum_1e-6,1.294271469116211,0.8520500659942627,0.03978169709444046,1.1087125539779663,0.01097419485449791,-1.3803021907806396,0.20567356050014496
14,0,-1.4371337890625,-0.79304438829422,-1.4196887016296387,-2.9425649642944336,0.03320382907986641,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,100,0.004,2.5616960525512695,628.84,1.31,641,1.6784197092056274,27.914692010310237,26.94072151184082,525.7675170898438,22.62741470336914,1.0312852596231611e-13,0,0.29755720496177673,27.914692010310237,0.4032582938671112,1.0,398.278564453125,4.022595405578613,27.914692010310237,1.6803491115570068,1.0,1.413150414826794,1.3556540096268515,exact_deterministic_ggn_2b,torch.float64,0.0007263454026542604,26,938976,0.000725492020137608,0.527869701385498,2.856368723769265e-07,1.908271588035859e-05,0.00038341572508215904,5.611154851979684e-16,0.0018581795739009976,1.0278728220140976e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00014430421288125217,0.0030162688344717026,-0.007253121584653854,0.03160405158996582,0.004,99,409600,641.5253238878213,409600,1.0,1e-06,paper_sgd_momentum_1e-6,1.311758041381836,0.8281813859939575,-0.2206326425075531,1.118830680847168,-0.2599964141845703,-1.3967151641845703,0.2622959017753601
