action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_fisher_quadratic,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_rhs_weight,joint_direction_l2,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_predicted_value_divergence,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.9480751752853394,2.2015395164489746,-1.0225763320922852,-2.6242754459381104,0.2476247251033783,0.0,1.0,1.0,512,0.0007593749999999997,1.2464749813079834,166.09,1.65,205,2.255845069885254,0.35015854239463806,3.761711852551686e-13,0,0.22164645791053772,0.1,12.269807815551758,10.0,31.622776601683793,2.255844831466675,1.4059052788338933,0.22837677253078234,exact_deterministic_ggn_2b,torch.float64,4.9598543050421995e-09,1.7379687022867074e-08,3.1694056310861088e-15,3.6195855643491074e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.044585391879081726,-0.039048828184604645,0.026476740837097168,0.0005062499999999999,9,40960,199.70828937599435,40960,1.0,1e-06,paper_sgd_momentum_1e-6,2.033297300338745,0.2233291119337082,-0.10419835895299911,4.207110404968262,-0.15653565526008606,-2.140519618988037,0.8683905601501465
14,0,-1.166884422302246,1.7549701929092407,-1.1691131591796875,-4.390259742736816,0.36671897768974304,0.0,1.0,1.0,512,0.002562890624999999,0.6052718162536621,202.19,1.84,203,2.9766111373901367,0.6545647382736206,5.953510817610909e-13,0,0.1679762601852417,0.1,24.600040435791016,10.0,31.622776601683793,2.9766111373901367,1.4142122673665651,0.24962405315444755,exact_deterministic_ggn_2b,torch.float64,6.065666013910231e-08,2.279616211353641e-07,3.1150345904878604e-15,5.358205113094757e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.03946329653263092,-0.016952376812696457,0.07002633810043335,0.002562890624999999,19,81920,400.92611727584153,81920,1.0,1e-06,paper_sgd_momentum_1e-6,5.025305271148682,0.14261867105960846,0.38996434211730957,4.701936721801758,0.3077859878540039,-1.307998538017273,1.2352700233459473
14,0,-1.2214610576629639,0.763697624206543,-1.2139759063720703,-3.78049635887146,0.20976339280605316,0.0,1.0,1.0,512,0.005766503906249997,0.8047829866409302,166.06,1.75,205,2.0377421379089355,0.4409993886947632,2.4215219813131846e-13,0,0.24536961317062378,0.1,10.746187210083008,10.0,31.622776601683793,2.0377421379089355,1.4142133908261802,0.22418209352643767,exact_deterministic_ggn_2b,torch.float64,4.4144309185867314e-07,1.0756999699879088e-06,2.2163003561977027e-15,2.5223859446814084e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0437237024307251,-0.04165958613157272,0.02205287665128708,0.003844335937499998,29,122880,601.893352014944,122880,1.0,1e-06,paper_sgd_momentum_1e-6,4.034599304199219,0.10000000149011612,0.3013313114643097,5.015806674957275,0.11835630983114243,-1.4880833625793457,1.4791754484176636
14,0,-1.2215691804885864,0.9151442050933838,-1.2011727094650269,-3.587249755859375,0.1450853943824768,0.0,1.0,1.0,512,0.22168378200530994,0.7195765972137451,166.53,1.92,205,4.479067325592041,1.163984775543213,3.3158524595885894e-13,0,0.111630380153656,0.1,540.2979736328125,10.0,31.622776601683793,4.479067325592041,1.4142135449426434,0.21911240144158448,exact_deterministic_ggn_2b,torch.float64,0.00035641007707454264,0.016543827950954437,1.4453355121618275e-15,3.313139385927122e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0376598946750164,-0.03468542918562889,0.11592865735292435,0.22168378200530994,39,163840,801.5673442487605,163840,1.0,1e-06,paper_sgd_momentum_1e-6,3.4987545013427734,0.10000000149011612,0.34387069940567017,3.983412742614746,-0.049526017159223557,-1.2947901487350464,1.6115251779556274
14,0,-1.1376521587371826,0.8752565979957581,-1.1406043767929077,-3.5368399620056152,0.1678103506565094,0.0,1.0,1.0,512,0.22168378200530994,1.176131010055542,163.38,2.08,205,5.335668087005615,1.9370300769805908,4.1251241522774233e-13,0,0.09370897710323334,0.1,328.77825927734375,10.0,31.622776601683793,5.335668087005615,1.4139859855721446,0.30069760684862046,exact_deterministic_ggn_2b,torch.float64,0.0004179618554189801,0.007094199303537607,1.914698930028161e-15,3.9731401594148206e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.04587109386920929,-0.03838159143924713,0.09809029847383499,0.14778918800353996,49,204800,1001.2417374947108,204800,1.0,1e-06,paper_sgd_momentum_1e-6,3.0781033039093018,0.11809124797582626,0.4878651201725006,3.667537212371826,0.31750982999801636,-1.3580033779144287,1.3982115983963013
14,0,-1.239506721496582,0.3427915573120117,-1.2321897745132446,-2.8310928344726562,0.09613190591335297,0.0,1.0,1.0,512,0.4987885095119474,1.1774449348449707,155.77,2.0,205,6.9680681228637695,2.495151996612549,2.89240747369519e-13,0,0.07175590097904205,0.1,279.63299560546875,10.0,31.622776601683793,6.9680681228637695,1.4142122133351307,0.2903874554663076,exact_deterministic_ggn_2b,torch.float64,0.0015981410397216678,0.01791045069694519,1.1391453949854844e-15,2.989995751780506e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.028038684278726578,-0.01816767454147339,0.13228508830070496,0.4987885095119474,59,245760,1200.6696071531624,245760,1.0,1e-06,paper_sgd_momentum_1e-6,3.3300487995147705,0.4245258569717407,0.38468626141548157,3.891551971435547,0.10812535136938095,-1.236295223236084,1.369310736656189
14,0,-1.2111539840698242,0.1458195149898529,-1.217380404472351,-2.634456157684326,0.09185782074928284,0.0,1.0,1.0,512,0.4999999999999997,1.351374864578247,188.58,2.44,205,6.401515960693359,2.305176258087158,2.961275222649774e-13,0,0.07810650020837784,0.1,241.49533081054688,10.0,31.622776601683793,6.401515960693359,1.4142122188190898,0.3669556991929154,exact_deterministic_ggn_2b,torch.float64,0.0017578770639374852,0.01841590739786625,1.2566451765324129e-15,2.7488764635044325e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.03284129872918129,-0.00945158302783966,0.11388391256332397,0.4999999999999997,69,286720,1400.4477363699116,286720,1.0,1e-06,paper_sgd_momentum_1e-6,3.9903719425201416,0.44444823265075684,0.6837829351425171,3.946355104446411,0.21152767539024353,-1.267690658569336,2.059969425201416
14,0,-1.258535623550415,1.0672566890716553,-1.2248684167861938,-3.3242244720458984,0.13999979197978973,0.0,1.0,1.0,512,0.5,1.3396735191345215,168.23,2.24,205,4.765266418457031,0.8354198932647705,1.7925376721814418e-13,0,0.10492593795061111,0.1,83.97476196289062,10.0,31.622776601683793,4.765265941619873,1.414162657535106,0.42874253077089824,exact_deterministic_ggn_2b,torch.float64,0.0011496895458549261,0.011556452140212059,9.85577916449233e-16,1.7473049254193148e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.022640911862254143,-0.03396381437778473,0.06764911860227585,0.5,79,327680,1600.2080578617752,327680,1.0,1e-06,paper_sgd_momentum_1e-6,2.0520031452178955,0.3234458267688751,0.8652044534683228,3.772376537322998,0.6324453353881836,-1.187516450881958,1.620006799697876
14,0,-1.2767257690429688,0.647611677646637,-1.2838642597198486,-2.4774694442749023,0.10294456779956818,0.0,1.0,1.0,512,0.5,1.940024495124817,143.68,2.02,205,4.016471862792969,0.7765423059463501,2.3204517295802837e-13,0,0.12448736280202866,0.1,46.46064758300781,10.0,31.622776601683793,4.016471862792969,1.413571583222676,0.5769184474742373,exact_deterministic_ggn_2b,torch.float64,0.0015042695449665189,0.00900006853044033,1.41208881944122e-15,2.2054206578954042e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.019971000030636787,-0.030948640778660774,0.05468962341547012,0.5,89,368640,1799.7147819879465,368640,1.0,1e-06,paper_sgd_momentum_1e-6,1.8109222650527954,0.3259582221508026,0.5999492406845093,3.9276318550109863,0.34426143765449524,-1.376455307006836,1.4831024408340454
14,0,-1.3188847303390503,0.53708416223526,-1.3052746057510376,-3.579056978225708,0.10426302254199982,0.0,1.0,1.0,512,0.5,1.703259825706482,150.43,2.18,205,4.051715850830078,0.7320459485054016,1.8767289887862446e-13,0,0.12340451031923294,0.1,43.88480758666992,10.0,31.622776601683793,4.051715850830078,1.4142112619912213,0.3619885219630086,exact_deterministic_ggn_2b,torch.float64,0.0013935110764577985,0.008353842422366142,1.088054457540215e-15,1.8992562176037993e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.02154124714434147,-0.033920809626579285,0.060039155185222626,0.5,99,409600,1999.197506339755,409600,1.0,1e-06,paper_sgd_momentum_1e-6,2.0703721046447754,0.26057568192481995,0.6859403848648071,4.781222343444824,0.45264768600463867,-1.2096163034439087,1.6004079580307007
