JobID|JobName|User|Account|Partition|QOS|State|ExitCode|Submit|Start|Elapsed|NodeList
19409681|pg45-bf|h99859yz|gpu-h200-fse-pgdr|gpuH|gpu-h200-fse|RUNNING|0:0|26/08/26 10:05|26/08/26 10:06|00:00:31|node820
19409682|pg45-boss|h99859yz|gpu-h200-fse-pgdr|gpuH|gpu-h200-fse|RUNNING|0:0|26/08/26 10:05|26/08/26 10:06|00:00:31|node820
19409683|pg45-cave|h99859yz|gpu-h200-fse-pgdr|gpuH|gpu-h200-fse|RUNNING|0:0|26/08/26 10:05|26/08/26 10:06|00:00:31|node820
19409684|pg45-coin|h99859yz|gpu-h200-fse-pgdr|gpuH|gpu-h200-fse|RUNNING|0:0|26/08/26 10:05|26/08/26 10:06|00:00:31|node820
