19487252|RUNNING|0:0|03:15:01|node822|27/08/26 08:09|Unknown
19487252.batch|RUNNING|0:0|03:15:01|node822|27/08/26 08:09|Unknown
19487252.extern|RUNNING|0:0|03:15:01|node822|27/08/26 08:09|Unknown
19487252.0|FAILED|1:0|00:03:25|node822|27/08/26 08:27|27/08/26 08:30
19487252.1|COMPLETED|0:0|00:00:04|node822|27/08/26 08:28|27/08/26 08:28
19487252.2|COMPLETED|0:0|00:00:03|node822|27/08/26 08:30|27/08/26 08:30
19487252.3|COMPLETED|0:0|00:00:02|node822|27/08/26 08:30|27/08/26 08:30
19487252.4|COMPLETED|0:0|02:34:35|node822|27/08/26 08:38|27/08/26 11:12
19487252.5|COMPLETED|0:0|00:00:03|node822|27/08/26 08:38|27/08/26 08:38
19487252.6|COMPLETED|0:0|00:00:03|node822|27/08/26 08:38|27/08/26 08:38
19487252.7|COMPLETED|0:0|00:00:04|node822|27/08/26 08:39|27/08/26 08:39
19487252.8|COMPLETED|0:0|00:00:03|node822|27/08/26 08:40|27/08/26 08:40
19487252.9|COMPLETED|0:0|00:00:03|node822|27/08/26 08:40|27/08/26 08:40
19487252.10|COMPLETED|0:0|00:00:02|node822|27/08/26 08:51|27/08/26 08:51
