action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_effective_critic_scale_ratio,joint_actor_effective_scale,joint_actor_fisher_quadratic,joint_actor_normalized_mean_gram_diag,joint_actor_normalized_rhs_l2,joint_actor_normalized_rows_l2,joint_actor_raw_critic_scale_ratio,joint_actor_raw_rows_l2,joint_actor_raw_scale,joint_actor_scale_floor,joint_actor_scale_floor_active,joint_actor_scale_floor_ratio,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_ggn_quadratic,joint_critic_normalized_mean_gram_diag,joint_critic_normalized_rhs_l2,joint_critic_normalized_rows_l2,joint_critic_raw_rows_l2,joint_critic_raw_scale,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_kernel_mode,joint_linear_solve_dtype,joint_policy_direction_l2,joint_policy_post_lr_delta_l2,joint_post_lr_delta_l2,joint_predicted_step_kl,joint_relative_damping,joint_relative_solve_residual,joint_shared_direction_l2,joint_shared_post_lr_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_direction_l2,joint_value_post_lr_delta_l2,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,0.07595530897378922,0.2403147965669632,0.07714492827653885,-0.04052111506462097,0.001333096413873136,0.0,1.0,1.0,512,0.0011390625,1.228690266609192,934.9142857142857,0.0,936,0.36075782775878906,0.17727934586217414,1100.1896751986274,0.008658245205879211,1.0,0.6821833252906799,22.627416610717773,0.17727934586217414,750.53125,1100.1896751986274,62.059664641021975,0.0,0.01,4.900949422790936e-15,0,1.0,0.0001863267389126122,1.0000001192092896,0.025618407875299454,22.627418518066406,1782.541748046875,6205.966464102197,16.367530822753906,0.36075782775878906,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.1705523133277893,0.00019426974176894873,0.0004109256842639297,5.616877629677219e-09,0.5,4.900949422790936e-15,0.3177691102027893,0.0003619588678702712,4.900949422790936e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.008996030315756798,1.0247040336253121e-05,0.062352195382118225,-0.009491058066487312,0.007955064065754414,0.0007593750000000001,9,40960,45.375679708085954,40960,1.0,1e-06,paper_sgd_momentum_1e-6,2.3626956939697266,0.6097144484519958,-0.03651632368564606,0.11178204417228699,-0.04221642017364502,-0.09567300975322723,0.0007756947306916118
14,0,0.08203980326652527,0.29733753204345703,0.06744761765003204,-0.04079866409301758,0.0024728397838771343,0.0,1.0,1.0,512,0.00010000000000000003,1.1404690742492676,971.8765432098766,0.0,936,0.5643762946128845,0.11377234144948231,912.3642825237175,0.0077005731873214245,1.0,0.7491188645362854,22.627416610717773,0.11377234144948231,683.469482421875,912.3642825237175,80.19209861553473,0.0,0.01,5.989432831393169e-15,0,0.8859337568283081,2.71861681540031e-05,1.0,0.02973106876015663,22.627416610717773,2026.2861328125,8019.209861553473,19.152048110961914,0.5643762946128845,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.2336188554763794,2.0697083527920768e-05,5.0000002374872565e-05,3.022007644126745e-11,0.5,5.989432831393169e-15,0.5137096643447876,4.551127494778484e-05,5.989432831393169e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.006724258419126272,5.957247708465729e-07,0.08479051291942596,0.019734224304556847,0.013844670727849007,0.0001,19,81920,89.29400999005884,81920,1.0,1e-06,paper_sgd_momentum_1e-6,6.624765872955322,0.36313697695732117,0.011564749293029308,0.08603274077177048,0.009745199233293533,-0.06195751950144768,0.0006442687590606511
14,0,0.020167235285043716,0.42492324113845825,0.03485313802957535,-0.4565232992172241,0.037246908992528915,0.0,1.0,1.0,512,0.00022500000000000005,1.7961759567260742,1000.0,0.0,934,0.580058217048645,0.19589758180299793,1012.5039439099894,0.01073540560901165,1.0,0.7111096978187561,22.627416610717773,0.19589758180299793,720.0014038085938,1012.5039439099894,51.68537225376278,0.0,0.01,3.0855493037104896e-15,0,0.8619824647903442,0.0006634199526160955,1.0,0.10561368614435196,22.627416610717773,1626.742431640625,5168.537225376278,32.21099853515625,0.580058217048645,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.2650614380836487,5.140762004884891e-05,0.00011249999806750566,2.0190651928153613e-10,0.5,3.0855493037104896e-15,0.5157983303070068,0.00010003704664995894,3.0855493037104896e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.012731621973216534,2.4692478746146662e-06,0.11513738334178925,-0.05693991482257843,0.1125999242067337,0.00015000000000000004,29,122880,133.24628484621644,122880,1.0,1e-06,paper_sgd_momentum_1e-6,7.710463523864746,0.47310635447502136,0.16618216037750244,0.3909928500652313,0.17471246421337128,-0.10999734699726105,0.0051170699298381805
14,0,0.0362371951341629,2.592266082763672,0.283321738243103,-2.5575685501098633,1.3840546607971191,0.0,1.0,1.0,512,0.00022500000000000005,2.071542739868164,1000.0,0.0,873,0.6293107867240906,0.22435024912942417,981.1858248882694,0.0033687916584312916,1.0,0.7223694324493408,22.627416610717773,0.22435024912942417,708.7786254882812,981.1858248882694,43.73455472840766,0.0,0.01,2.629244066048938e-15,0,0.7945199608802795,0.012749818153679371,1.0,0.5839831829071045,22.627416610717773,1496.3988037109375,4373.455472840766,30.7236328125,0.6293107867240906,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.26547175645828247,4.745758633362129e-05,0.00011249999806750566,5.38293090657227e-11,0.5,2.629244066048938e-15,0.561580240726471,0.00010039201151812449,2.629244066048938e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.10091798007488251,1.8040804206975736e-05,0.1306178867816925,-0.02858966588973999,2.913100242614746,0.00015000000000000004,39,163840,177.77989922231063,163840,1.0,1e-06,paper_sgd_momentum_1e-6,8.016489028930664,0.29523903131484985,-0.2975836992263794,1.259442925453186,-0.25127607583999634,-1.6029348373413086,0.2301361858844757
14,0,0.2094167172908783,1.0431864261627197,0.13440632820129395,-0.6757693290710449,0.15548904240131378,0.0,1.0,1.0,512,0.0001,1.7312133312225342,982.54,0.0,937,0.39304718375205994,0.2265545499579081,1058.9193060911086,0.004237100947648287,1.0000001192092896,0.695350170135498,22.627418518066406,0.2265545499579081,736.3197021484375,1058.9193060911086,46.74014740767055,0.0,0.01,4.205750759613184e-15,0,1.0,0.000298041122732684,1.0,0.10370996594429016,22.627416610717773,1546.9632568359375,4674.014740767055,28.130226135253906,0.3930472135543823,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.18177492916584015,1.817749216570519e-05,3.930471939384006e-05,2.118550300467259e-11,0.5,4.205750759613184e-15,0.3473941385746002,3.4739412512863055e-05,4.205750759613184e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.027591511607170105,2.7591511297941906e-06,0.059024013578891754,-0.0032087210565805435,0.0981886088848114,0.0001,49,204800,221.8136842274107,204800,1.0,1e-06,paper_sgd_momentum_1e-6,1.8819732666015625,0.4012397825717926,-0.5303968191146851,-0.04022130370140076,-0.5185860395431519,-1.2132145166397095,0.04312440752983093
14,0,-0.04546260088682175,1.2836624383926392,0.008400234393775463,-2.5179038047790527,0.16955672204494476,0.0,1.0,1.0,512,0.0001,1.5645265579223633,977.77,0.2,936,0.10230498015880585,0.8584718071297885,47790.458611371374,0.0003711609751917422,1.0,0.10350573062896729,22.627416610717773,0.8584718071297885,4946.5859375,47790.458611371374,556.6922316430381,0.0,0.01,3.105713814323376e-15,0,1.0,0.00019329793576616794,0.9999998807907104,0.035924192517995834,22.62741470336914,5338.78662109375,55669.2231643038,72.7703857421875,0.10230497270822525,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.032775431871414185,3.2775431009213207e-06,1.0230496627627872e-05,1.8558047893552088e-12,0.5,3.105713814323376e-15,0.09573296457529068,9.573296665621456e-06,3.105713814323376e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.015075738541781902,1.507573870185297e-06,0.08804120123386383,-0.01541058998554945,0.14031988382339478,0.0001,59,245760,265.6878814403899,245760,1.0,1e-06,paper_sgd_momentum_1e-6,2.5730676651000977,0.33527204394340515,0.5632019639015198,1.8970084190368652,0.6170752644538879,-0.6482445001602173,0.24253679811954498
13,0,-0.2502598762512207,1.6370139122009277,-0.10185310989618301,-4.930229663848877,1.1085652112960815,0.0,1.0,1.0,512,0.00015000000000000004,0.21270440518856049,67.85,6.1,935,0.11224079132080078,0.7899869623069956,44040.12318427375,0.004821959882974625,1.0,0.10782282054424286,22.627416610717773,0.7899869623069956,4748.53076171875,44040.12318427375,557.4791140307374,0.0,0.01,2.1612798901973414e-15,0,1.0,0.0006235480541363358,1.0,0.1070408895611763,22.627416610717773,5342.55859375,55747.91140307374,2.927600860595703,0.11224079877138138,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,0.04667719826102257,7.001579888310516e-06,1.683612026681658e-05,5.4247054764866576e-11,0.5,2.1612798901973414e-15,0.0772506520152092,1.1587598237383645e-05,2.1612798901973414e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.06672010570764542,1.0008016033680178e-05,0.48465800285339355,-0.0649850070476532,1.2475502490997314,0.00010000000000000003,69,286720,309.8935896633193,286720,1.0,1e-06,paper_sgd_momentum_1e-6,8.629508972167969,0.10000000149011612,3.4644341468811035,5.681528568267822,3.445183753967285,-0.27088260650634766,1.522814393043518
5,5,-0.54740309715271,-0.4503239393234253,-0.5035402178764343,-2.4673893451690674,0.04470568895339966,0.0,1.0,1.0,512,0.5,1.5171747691056225e-05,334.2,4.9,937,0.0021099336445331573,0.01,290.4256025636934,9.888129967155964e-20,2.794922515647613e-09,1.3277536630630493,0.001196244265884161,2.7949224011554242e-11,0.02038624696433544,8.117170224743289e-07,290.4256025636934,1.0,0.01,7.305344386326909e-16,0,1.0,4.957247483616811e-07,1.0,0.03132745996117592,22.627416610717773,3856.13671875,29042.560256369343,0.0002965532476082444,0.0021099336445331573,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,8.574474122724496e-06,4.287237061362248e-06,0.0010549668222665787,1.2360162458944955e-20,0.5,7.305344386326909e-16,0.0008186544291675091,0.00040932721458375454,7.305344386326909e-16,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.001944621209986508,0.000972310604993254,8.274063212354577e-09,6.51925802230835e-08,0.05566924810409546,0.5,79,327680,354.1948508042842,327680,1.0,1e-06,paper_sgd_momentum_1e-6,1.0000003576278687,1.0,1.4236663579940796,1.5410149097442627,1.4590749740600586,-0.4649392068386078,0.04446098580956459
8,8,-0.05977904051542282,2.9773221015930176,-0.24182884395122528,-3.0658316612243652,1.0963659286499023,0.0,1.0,1.0,512,0.5,4.057474842222852e-12,429.33,3.7,936,0.013935556635260582,0.01,1119.031270665995,6.548143755323373e-30,1.3065852686077684e-22,0.6764160394668579,2.586448555330634e-10,1.3065851641749628e-24,8.652167871048277e-09,1.4621096565000463e-19,1119.031270665995,1.0,0.01,2.0767837870278102e-15,0,1.0,1.4845843907096423e-05,0.9999998807907104,0.1038881316781044,22.62741470336914,7569.306640625,111903.1270665995,9.56376644545287e-11,0.013935556635260582,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,3.5797458747266475e-11,1.7898729373633238e-11,0.006967778317630291,8.185179694154217e-31,0.5,2.0767837870278102e-15,0.007692982908338308,0.003846491454169154,2.0767837870278102e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.011619714088737965,0.005809857044368982,5.458876623301578e-13,-7.450580596923828e-09,2.3588709831237793,0.5,89,368640,398.0051505002193,368640,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,0.8252558708190918,3.7968909740448,0.13463811576366425,-0.7937353849411011,2.239377737045288
8,8,-0.6765795946121216,1.0229820013046265,-0.6722152233123779,-3.203517436981201,0.42621028423309326,0.0,1.0,1.0,512,0.5,9.550065696901334e-18,60.94,5.3,936,0.005631894804537296,0.01,3580.249110164349,2.0178697886277366e-42,6.814116213928694e-34,0.3781624138355255,5.9066296741649895e-16,6.814116340009824e-36,3.534242600726316e-14,2.439623396287652e-30,3580.249110164349,1.0,0.01,1.6220410512289077e-15,0,1.0,1.0451685739099048e-07,1.0,0.025086797773838043,22.627416610717773,13539.15625,358024.9110164349,5.2060259594805e-16,0.005631895270198584,1.0,full_shared_joint2b_critic_anchored_actor_scale_floor,torch.float64,1.1034806092777878e-17,5.517403046388939e-18,0.002815947635099292,2.5223372357846707e-43,0.5,1.6220410512289077e-15,0.005428077653050423,0.0027140388265252113,1.6220410512289077e-15,block_normalized_symmetric_jacobi_fp64_cholesky,1024,0.0015014040982350707,0.0007507020491175354,1.9451439549447308e-18,-7.916241884231567e-09,0.4400820732116699,0.5,99,409600,441.9243650371209,409600,1.0,1e-06,paper_sgd_momentum_1e-6,1.0,1.0,1.7665033340454102,3.3747994899749756,1.904423475265503,-0.624672532081604,1.068118929862976
