action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,blockdiag_actor_cholesky_info_max,blockdiag_actor_direction_l2,blockdiag_actor_jacobi_scale_max,blockdiag_actor_jacobi_scale_min,blockdiag_actor_post_lr_delta_l2,blockdiag_actor_raw_scale,blockdiag_actor_relative_solve_residual,blockdiag_actor_rhs_l2,blockdiag_actor_solve_residual,blockdiag_actor_system_rows,blockdiag_critic_cholesky_info_max,blockdiag_critic_direction_l2,blockdiag_critic_jacobi_scale_max,blockdiag_critic_jacobi_scale_min,blockdiag_critic_post_lr_delta_l2,blockdiag_critic_raw_j_scale,blockdiag_critic_relative_solve_residual,blockdiag_critic_rhs_l2,blockdiag_critic_solve_residual,blockdiag_critic_system_rows,blockdiag_critic_weighted_scale,blockdiag_direction_cosine,blockdiag_finite_scan_pass,blockdiag_no_dual_cross_solve,blockdiag_policy_sum_direction_l2,blockdiag_shared_actor_direction_l2,blockdiag_shared_contribution_ratio,blockdiag_shared_critic_direction_l2,blockdiag_shared_sum_direction_l2,blockdiag_sum_post_lr_delta_l2,blockdiag_value_sum_direction_l2,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_fisher_quadratic,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_direction_l2,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.9522831439971924,0.21698471903800964,-0.9272351264953613,-2.5804266929626465,0.05203913152217865,0,0.6486843228340149,1.4120732963184208,0.05706094955917923,0.00022018820163793862,3454.3603515625,1.828742720291256e-14,22.62741470336914,8.03974970787582e-13,512,0,0.2988119125366211,1.0501818991392318,0.4750398160158123,0.00010142816609004512,13028.177734375,8.521308007312874e-15,13.53510570526123,4.1038591614765273e-13,512,1302.81787109375,0.11869624257087708,1.0,1.0,0.17806123197078705,0.6237672567367554,2.1669535636901855,0.28785446286201477,0.7196947932243347,0.00025312500656582415,0.08017708361148834,0.0,1.0,1.0,512,0.0005062500000000001,0.5768218040466309,628.4074074074074,2.4074075,1608,0.7457176446914673,3.502516269683838,8.03974970787582e-13,0,0.6704950928688049,0.1,104.68109893798828,1.0,0.7457176446914673,full_shared_detggn_blockdiag_bxb,torch.float64,2.0177691339995363e-07,1.828742720291256e-14,8.03974970787582e-13,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.0492323599755764,-0.037969283759593964,0.035781070590019226,0.00033750000000000007,9,40960,26.04426710307598,40960,1.0,1e-06,paper_sgd_momentum_1e-6,3.9679105281829834,0.35421547293663025,0.4142417907714844,1.5656813383102417,0.3938015103340149,-0.9004262089729309,0.15111646056175232
14,1,-1.3550108671188354,-0.3546624481678009,-1.32034170627594,-4.097954273223877,0.052110619843006134,0,0.5341328978538513,1.4137110607507264,0.06516969712843332,0.0002743088698480278,11149.037109375,1.965849112588617e-14,22.62741470336914,2.37155728752261e-12,512,0,0.4020483195781708,1.0958040063590064,0.420809688397471,0.0002064756117761135,18348.22265625,1.2181388722180154e-14,28.432836532592773,6.030888152506804e-13,512,1834.822265625,0.23204423487186432,1.0,1.0,0.12656570971012115,0.5189210772514343,1.320587158203125,0.3929472267627716,0.7234281897544861,0.00037968752440065145,0.08506076782941818,0.0,1.0,1.0,512,0.0007593750000000001,0.6680916547775269,722.86,1.0,1621,0.7393257021903992,51.31635284423828,2.37155728752261e-12,0,0.6762919425964355,0.1,109.05274963378906,1.0,0.7393257021903992,full_shared_detggn_blockdiag_bxb,torch.float64,6.76716581438086e-06,1.965849112588617e-14,2.37155728752261e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.08257440477609634,-0.05210456624627113,0.1578957438468933,0.0005062500000000001,19,81920,51.51614142116159,81920,1.0,1e-06,paper_sgd_momentum_1e-6,3.1820154190063477,0.17949636280536652,0.05368168279528618,1.9802188873291016,-0.07640910893678665,-1.4262200593948364,0.5456251502037048
14,0,-1.557363510131836,-0.7305405139923096,-1.4902198314666748,-3.841905117034912,0.05690084397792816,0,0.43861421942710876,1.3996797198006712,0.027105957033097077,9.973368287319317e-05,9293.2890625,3.1761961072782556e-14,22.62741470336914,4.259326413183693e-12,512,0,0.462333619594574,0.9761159236395505,0.3052617742520215,0.00010512708104215562,31765.119140625,2.4714425252741616e-14,22.130083084106445,1.568346373808458e-12,512,3176.51220703125,0.3566169738769531,1.0,1.0,0.08782646059989929,0.42973122000694275,0.9549158215522766,0.4500200152397156,0.7292605042457581,0.0001687500043772161,0.10599247366189957,0.0,1.0,1.0,512,0.00033750000000000007,0.5317387580871582,740.53,0.3,1602,0.7421379685401917,72.4975814819336,4.259326413183693e-12,0,0.6737291812896729,0.1,128.94142150878906,1.0,0.7421379685401917,full_shared_detggn_blockdiag_bxb,torch.float64,1.8741822032097843e-06,3.1761961072782556e-14,4.259326413183693e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.06679904460906982,0.0008006170392036438,0.09565246105194092,0.00022500000000000005,29,122880,76.92654059128836,122880,1.0,1e-06,paper_sgd_momentum_1e-6,10.0,0.10000000149011612,-0.10867327451705933,2.0223941802978516,-0.3169398903846741,-1.458421230316162,0.6004428863525391
14,1,-1.6781693696975708,0.3708321154117584,-1.620424509048462,-5.913243293762207,0.18495723605155945,0,0.6210491061210632,1.4142086792638064,0.032652319362903894,3.334159555379301e-05,12805.2060546875,2.864400731894987e-14,22.627416610717773,4.1744127633447e-12,512,0,0.6040451526641846,0.7927855429916019,0.2135096270202279,3.2428724807687104e-05,54618.921875,2.7546885265309478e-14,22.88201904296875,2.1656844196825097e-12,512,5461.89208984375,0.15571020543575287,1.0,1.0,0.1400202363729477,0.6050589084625244,1.0239861011505127,0.5908858776092529,0.9121783375740051,4.999999509891495e-05,0.12539690732955933,0.0,1.0,1.0,512,0.0001,0.4795922040939331,807.82,0.4,1618,0.9313427805900574,105.59611511230469,4.1744127633447e-12,0,0.5368592739105225,0.1,572.181640625,1.0,0.9313427209854126,full_shared_detggn_blockdiag_bxb,torch.float64,1.5217344184748072e-07,2.864400731894987e-14,4.1744127633447e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.07693988084793091,-0.020427994430065155,0.10226304829120636,0.0001,39,163840,102.31990293692797,163840,1.0,1e-06,paper_sgd_momentum_1e-6,4.891788005828857,0.2687612771987915,0.5773330926895142,3.052389621734619,0.4567858576774597,-1.5800641775131226,0.7531318068504333
12,1,-1.735130786895752,0.2101188749074936,-1.7092704772949219,-4.167769908905029,0.049583952873945236,0,0.3845755457878113,1.4141519322454046,0.025863336595406978,3.0068820706219412e-05,5689.83984375,3.898290211756034e-14,22.62741470336914,3.343834291158747e-12,512,0,0.44480282068252563,0.6608456841859135,0.24232737583159294,3.477781137917191e-05,56345.94921875,1.4513269680630235e-14,36.512474060058594,1.9933689199128653e-12,512,5634.5947265625,0.18473729491233826,1.0,1.0,0.0840497761964798,0.3752785325050354,0.8629817366600037,0.4348626732826233,0.6270103454589844,4.999999873689376e-05,0.09350939840078354,0.0,1.0,1.0,512,0.0001,0.2735643982887268,845.05,0.4,1500,0.6394922137260437,28.38071060180664,3.343834291158747e-12,0,0.7818703651428223,0.1,302.80908203125,1.0,0.6394922137260437,full_shared_detggn_blockdiag_bxb,torch.float64,8.674864915292346e-08,3.898290211756034e-14,3.343834291158747e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.06484031677246094,-0.002423228695988655,0.26038292050361633,0.0001,49,204800,127.86026301700622,204800,1.0,1e-06,paper_sgd_momentum_1e-6,10.0,0.19263297319412231,0.5250412225723267,2.110257148742676,0.7875445485115051,-1.6603659391403198,0.6172258853912354
12,1,-1.8189228773117065,-0.41462597250938416,-1.719045639038086,-7.560239791870117,0.2279828041791916,0,0.36565545201301575,1.4142135620332734,0.07096578105104924,2.4360220777452923e-05,6160.720703125,6.271890788786783e-15,22.627418518066406,7.062297053098661e-13,512,0,0.6488385796546936,0.7124593330968761,0.20405169422408426,4.322607856011018e-05,55345.58203125,6.083983913397475e-14,33.95245361328125,3.782163992201051e-12,512,5534.5576171875,0.018084336072206497,1.0,1.0,0.10698919743299484,0.3496530055999756,0.5559321641921997,0.6289490461349487,0.725544810295105,4.999999873689376e-05,0.15941958129405975,0.0,1.0,1.0,512,0.00010000000000000003,0.04548094421625137,815.6,0.2,1615,0.7505175471305847,34.665008544921875,3.782163992201051e-12,0,0.6662070155143738,0.1,63.11253356933594,1.0,0.7505174875259399,full_shared_detggn_blockdiag_bxb,torch.float64,7.69271508715974e-08,6.083983913397475e-14,3.782163992201051e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.08678911626338959,-0.0624232143163681,0.2251502275466919,0.0001,59,245760,153.2321834960021,245760,1.0,1e-06,paper_sgd_momentum_1e-6,3.425367593765259,0.10000000149011612,1.3151562213897705,3.766645669937134,1.1809816360473633,-1.6621274948120117,1.2946516275405884
12,0,-1.8271145820617676,-1.1589919328689575,-1.7912122011184692,-4.560136318206787,0.050358954817056656,0,0.2997555136680603,1.4142127230783164,0.04691731966465599,2.8392441890900955e-05,4022.738037109375,1.5496665794268633e-14,22.62741470336914,8.899693388407465e-13,512,0,0.3859284818172455,1.0449319168129607,0.4301421781154747,3.655462933238596e-05,14534.8125,1.2448150983794446e-14,16.404773712158203,9.898001010650192e-13,512,1453.481201171875,0.172288715839386,1.0,1.0,0.09127505868673325,0.2855209708213806,0.7967078685760498,0.35837599635124207,0.49981769919395447,4.999999873689376e-05,0.1432042270898819,0.0,1.0,1.0,512,0.0001,0.11961296200752258,826.03,0.2,1624,0.5278790593147278,9.445579528808594,9.898001010650192e-13,0,0.9471866488456726,0.1,166.98451232910156,1.0,0.5278790593147278,full_shared_detggn_blockdiag_bxb,torch.float64,4.237109862970101e-08,1.5496665794268633e-14,9.898001010650192e-13,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.07800091058015823,0.013036191463470459,0.05256182700395584,0.0001,69,286720,178.8891986273229,286720,1.0,1e-06,paper_sgd_momentum_1e-6,5.048007965087891,0.1305352747440338,0.5962628126144409,1.812416434288025,0.7396424412727356,-1.7415388822555542,0.5920003652572632
12,4,-1.8797415494918823,-0.5067948698997498,-1.849195122718811,-4.109652042388916,0.05176549032330513,0,0.4951132833957672,1.4141958631505316,0.23945454711127354,4.697376789408736e-05,3848.588134765625,6.7015276481262616e-15,22.62741470336914,1.6004979131294797e-12,512,0,0.16979104280471802,1.0271786896182253,0.39431985063315805,1.610889012226835e-05,19281.26171875,1.2859612344854406e-14,15.711669921875,8.619048668867877e-13,512,1928.126220703125,0.02244511991739273,1.0,1.0,0.19166158139705658,0.4565117359161377,2.981051206588745,0.15313783288002014,0.48541519045829773,4.999999873689376e-05,0.0733335018157959,0.0,1.0,1.0,512,0.00010000000000000003,0.255001425743103,807.94,0.2,1621,0.5270103812217712,99.79037475585938,1.6004979131294797e-12,0,0.9487479329109192,0.1,96.79176330566406,1.0,0.5270103812217712,full_shared_detggn_blockdiag_bxb,torch.float64,4.4911783447787457e-07,1.2859612344854406e-14,1.6004979131294797e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.1815742552280426,-0.06840962171554565,0.048214174807071686,0.0001,79,327680,204.41283836308867,327680,1.0,1e-06,paper_sgd_momentum_1e-6,2.049773693084717,0.10000000149011612,-0.06675659865140915,0.8492051959037781,-0.10536035150289536,-1.8119803667068481,0.4226784110069275
12,1,-1.7645838260650635,-1.3495784997940063,-1.756200909614563,-2.1801230907440186,0.008562378585338593,0,0.4826200306415558,1.4142135611075894,0.036760056695120176,3.041089075850323e-05,5671.9765625,2.3849086096333287e-14,22.627412796020508,4.124417335831243e-12,512,0,0.4873035252094269,1.078463397571738,0.4478231084359302,3.0706007237313315e-05,11881.6630859375,2.3794676759923906e-15,28.797975540161133,2.6515623520476626e-13,512,1188.166259765625,0.3385738134384155,1.0,1.0,0.12615704536437988,0.46583956480026245,1.0626885890960693,0.43835940957069397,0.7539354562759399,4.999999873689376e-05,0.21285147964954376,0.0,1.0,1.0,512,0.0001,0.3391929268836975,715.37,0.0,1615,0.7934985160827637,152.71682739257812,4.124417335831243e-12,0,0.6301208138465881,0.1,422.29498291015625,1.0,0.7934986352920532,full_shared_detggn_blockdiag_bxb,torch.float64,3.031827588984015e-07,2.3849086096333287e-14,4.124417335831243e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.061620280146598816,0.10981473326683044,0.16197721660137177,0.0001,89,368640,230.0276181269437,368640,1.0,1e-06,paper_sgd_momentum_1e-6,8.168233871459961,0.3627241253852844,-0.9677739143371582,-0.24064747989177704,-1.140809178352356,-1.745639443397522,0.1368175446987152
14,0,-1.4141408205032349,10.522710800170898,-1.5166056156158447,-1.7863363027572632,0.6864731311798096,0,0.31978821754455566,1.4142132091015074,0.07782301794279445,0.0016767213819548488,10975.97265625,5.160096895906192e-14,22.62741470336914,2.0551449270457046e-12,512,0,1.1894938945770264,1.1712316181820448,0.38762073937336367,0.006236783694475889,17495.736328125,6.949872426326416e-14,48.47285461425781,3.452581705737693e-12,512,1749.57373046875,0.01799754425883293,1.0,1.0,0.08026964217424393,0.3095501661300659,0.2880571484565735,1.0746136903762817,1.1244144439697266,0.00648731691762805,0.5100011825561523,0.0,1.0,1.0,512,0.0129746337890625,0.4355148673057556,729.34,0.2,1605,1.2372761964797974,11.620603561401367,3.452581705737693e-12,0,0.4041135013103485,0.1,21.56830596923828,1.0,1.2372761964797974,full_shared_detggn_blockdiag_bxb,torch.float64,0.00015973334666341543,6.949872426326416e-14,3.452581705737693e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.0712609812617302,-0.002688279375433922,0.45890966057777405,0.008649755859375,99,409600,255.40852278098464,409600,1.0,1e-06,paper_sgd_momentum_1e-6,1.7133911848068237,0.10000000149011612,-1.3090144395828247,10.408199310302734,-1.4262492656707764,-1.5994787216186523,0.6666068434715271
