Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.

Epoch starts:   0%|          | 0/1466 [00:00<?, ?it/s]
Stepping environment...:   0%|          | 0/1466 [00:00<?, ?it/s]
Minibatch training...:   0%|          | 0/1466 [00:02<?, ?it/s]  
Minibatch training...:   0%|          | 0/1466 [00:04<?, ?it/s, cf=0, entropy=2.71, kl=0.00131, loss_pi=-.00492, loss_v=0.00102, lr=0.001]
Minibatch training...:   0%|          | 1/1466 [00:05<2:02:33,  5.02s/it, cf=0, entropy=2.71, kl=0.00131, loss_pi=-.00492, loss_v=0.00102, lr=0.001]
Stepping environment...:   0%|          | 1/1466 [00:05<2:02:33,  5.02s/it, cf=0, entropy=2.71, kl=0.00131, loss_pi=-.00492, loss_v=0.00102, lr=0.001]
Minibatch training...:   0%|          | 1/1466 [00:06<2:02:33,  5.02s/it, cf=0, entropy=2.71, kl=0.00131, loss_pi=-.00492, loss_v=0.00102, lr=0.001]  
Minibatch training...:   0%|          | 1/1466 [00:07<2:02:33,  5.02s/it, cf=0.139, entropy=2.69, kl=0.00967, loss_pi=-.0189, loss_v=0.00103, lr=0.001]
Minibatch training...:   0%|          | 2/1466 [00:07<1:22:07,  3.37s/it, cf=0.139, entropy=2.69, kl=0.00967, loss_pi=-.0189, loss_v=0.00103, lr=0.001]
Stepping environment...:   0%|          | 2/1466 [00:07<1:22:07,  3.37s/it, cf=0.139, entropy=2.69, kl=0.00967, loss_pi=-.0189, loss_v=0.00103, lr=0.001]
Minibatch training...:   0%|          | 2/1466 [00:08<1:22:07,  3.37s/it, cf=0.139, entropy=2.69, kl=0.00967, loss_pi=-.0189, loss_v=0.00103, lr=0.001]  
Minibatch training...:   0%|          | 2/1466 [00:09<1:22:07,  3.37s/it, cf=0.756, entropy=2.43, kl=0.302, loss_pi=0.083, loss_v=1.04, lr=0.001]      
Minibatch training...:   0%|          | 3/1466 [00:09<1:09:10,  2.84s/it, cf=0.756, entropy=2.43, kl=0.302, loss_pi=0.083, loss_v=1.04, lr=0.001]
Stepping environment...:   0%|          | 3/1466 [00:09<1:09:10,  2.84s/it, cf=0.756, entropy=2.43, kl=0.302, loss_pi=0.083, loss_v=1.04, lr=0.001]
Minibatch training...:   0%|          | 3/1466 [00:10<1:09:10,  2.84s/it, cf=0.756, entropy=2.43, kl=0.302, loss_pi=0.083, loss_v=1.04, lr=0.001]  
Minibatch training...:   0%|          | 3/1466 [00:11<1:09:10,  2.84s/it, cf=0.219, entropy=2.54, kl=0.0186, loss_pi=0.000223, loss_v=0.00379, lr=0.001]
Minibatch training...:   0%|          | 4/1466 [00:11<1:03:23,  2.60s/it, cf=0.219, entropy=2.54, kl=0.0186, loss_pi=0.000223, loss_v=0.00379, lr=0.001]
Stepping environment...:   0%|          | 4/1466 [00:11<1:03:23,  2.60s/it, cf=0.219, entropy=2.54, kl=0.0186, loss_pi=0.000223, loss_v=0.00379, lr=0.001]
Minibatch training...:   0%|          | 4/1466 [00:13<1:03:23,  2.60s/it, cf=0.219, entropy=2.54, kl=0.0186, loss_pi=0.000223, loss_v=0.00379, lr=0.001]  
Minibatch training...:   0%|          | 4/1466 [00:13<1:03:23,  2.60s/it, cf=0.0996, entropy=2.59, kl=0.0095, loss_pi=-.0109, loss_v=0.00139, lr=0.001] 
Minibatch training...:   0%|          | 5/1466 [00:13<59:58,  2.46s/it, cf=0.0996, entropy=2.59, kl=0.0095, loss_pi=-.0109, loss_v=0.00139, lr=0.001]  
Stepping environment...:   0%|          | 5/1466 [00:13<59:58,  2.46s/it, cf=0.0996, entropy=2.59, kl=0.0095, loss_pi=-.0109, loss_v=0.00139, lr=0.001]
Minibatch training...:   0%|          | 5/1466 [00:15<59:58,  2.46s/it, cf=0.0996, entropy=2.59, kl=0.0095, loss_pi=-.0109, loss_v=0.00139, lr=0.001]  
Minibatch training...:   0%|          | 5/1466 [00:16<59:58,  2.46s/it, cf=0.0664, entropy=2.57, kl=0.0069, loss_pi=-.0153, loss_v=0.00107, lr=0.001]
Minibatch training...:   0%|          | 6/1466 [00:16<57:44,  2.37s/it, cf=0.0664, entropy=2.57, kl=0.0069, loss_pi=-.0153, loss_v=0.00107, lr=0.001]
Stepping environment...:   0%|          | 6/1466 [00:16<57:44,  2.37s/it, cf=0.0664, entropy=2.57, kl=0.0069, loss_pi=-.0153, loss_v=0.00107, lr=0.001]
Minibatch training...:   0%|          | 6/1466 [00:17<57:44,  2.37s/it, cf=0.0664, entropy=2.57, kl=0.0069, loss_pi=-.0153, loss_v=0.00107, lr=0.001]  
