action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,blockdiag_actor_cholesky_info_max,blockdiag_actor_direction_l2,blockdiag_actor_jacobi_scale_max,blockdiag_actor_jacobi_scale_min,blockdiag_actor_post_lr_delta_l2,blockdiag_actor_raw_scale,blockdiag_actor_relative_solve_residual,blockdiag_actor_rhs_l2,blockdiag_actor_solve_residual,blockdiag_actor_system_rows,blockdiag_critic_cholesky_info_max,blockdiag_critic_direction_l2,blockdiag_critic_jacobi_scale_max,blockdiag_critic_jacobi_scale_min,blockdiag_critic_post_lr_delta_l2,blockdiag_critic_raw_j_scale,blockdiag_critic_relative_solve_residual,blockdiag_critic_rhs_l2,blockdiag_critic_solve_residual,blockdiag_critic_system_rows,blockdiag_critic_weighted_scale,blockdiag_direction_cosine,blockdiag_finite_scan_pass,blockdiag_no_dual_cross_solve,blockdiag_policy_sum_direction_l2,blockdiag_shared_actor_direction_l2,blockdiag_shared_contribution_ratio,blockdiag_shared_critic_direction_l2,blockdiag_shared_sum_direction_l2,blockdiag_sum_post_lr_delta_l2,blockdiag_value_sum_direction_l2,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_fisher_quadratic,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_direction_l2,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,0.24962586164474487,0.9396790266036987,0.24763473868370056,0.206024631857872,0.0013180391397327185,0,0.14172381162643433,1.2874498644052204,0.6351228644769493,4.783178883371875e-05,260.84478759765625,5.084045754974514e-15,22.627408981323242,1.5916027476327906e-13,512,0,0.1686425358057022,1.254762859308991,1.2118720275497876,5.6916858738986775e-05,784.6365966796875,4.086418888087802e-16,12.214056015014648,1.3699900207095685e-14,512,78.46365356445312,-0.001061214366927743,1.0,1.0,0.06640401482582092,0.1252044290304184,0.8957968950271606,0.13976876437664032,0.18751193583011627,7.430767436744645e-05,0.09436628967523575,0.0,1.0,1.0,512,0.00033750000000000007,0.8970537185668945,959.4705882352941,0.0,1618,0.22017088532447815,0.8816834092140198,1.5916027476327906e-13,0,1.0,0.1,21.489070892333984,1.0,0.22017088532447815,full_shared_detggn_blockdiag_bxb,torch.float64,5.021462712306857e-08,5.084045754974514e-15,1.5916027476327906e-13,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.0710977166891098,0.02259219065308571,0.02913733758032322,0.00022500000000000005,9,40960,26.237475189380348,40960,1.0,1e-06,paper_sgd_momentum_1e-6,1.3397916555404663,0.46583306789398193,-0.44489914178848267,0.23376967012882233,-0.44547510147094727,-0.4939858019351959,0.001207492547109723
14,0,0.3926234841346741,0.8651144504547119,0.3665001392364502,0.3280313014984131,0.006567057687789202,0,0.18108637630939484,1.3430616296011622,1.1074032510268246,2.7162957849213853e-05,47.78208541870117,1.0898825248491e-15,22.62741470336914,2.6979829370549833e-14,512,0,0.25430455803871155,1.3890811068630569,1.383337143908308,3.814568481175229e-05,101.02294921875,3.9283238001508773e-16,7.006483554840088,7.604825120541262e-15,512,10.102294921875,0.06352300196886063,1.0,1.0,0.12284521758556366,0.13304634392261505,0.6225324869155884,0.21371790766716003,0.26311078667640686,4.821367110707797e-05,0.13782401382923126,0.0,1.0,1.0,512,0.00015000000000000004,2.3349671363830566,976.4375,0.0,1618,0.3214244842529297,0.42786410450935364,2.6979829370549833e-14,0,1.0,0.1,6.516542434692383,1.0,0.3214244544506073,full_shared_detggn_blockdiag_bxb,torch.float64,4.813471399245373e-09,1.0898825248491e-15,2.6979829370549833e-14,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.04779753461480141,0.006316676735877991,0.009588049724698067,0.00010000000000000003,19,81920,52.151973703410476,81920,1.0,1e-06,paper_sgd_momentum_1e-6,1.566291093826294,0.6655528545379639,-0.09756837785243988,0.35387271642684937,-0.12375990301370621,-0.15520423650741577,0.00659151142463088
14,0,0.019859615713357925,16.141569137573242,-0.17396101355552673,-1.548791527748108,1.4967659711837769,0,0.4568202495574951,1.4140579907678497,0.37668727133876867,8.111129318422172e-06,859.1663818359375,1.1357369518041465e-14,22.62741470336914,6.634135500183295e-13,512,0,2.6248104572296143,1.2933030905126195,0.9106072510654946,4.660514969145879e-05,1667.5087890625,6.182339863633015e-15,107.66242980957031,7.029903923506822e-13,512,166.75086975097656,0.34676599502563477,1.0,1.0,0.1890004277229309,0.4158889055252075,0.1774916797876358,2.3431458473205566,2.54850697517395,4.999999873689376e-05,1.1829191446304321,0.0,1.0,1.0,512,0.00010000000000000003,0.4451919198036194,462.23,2.7,1454,2.8160088062286377,212.42129516601562,7.029903923506822e-13,0,0.17755624651908875,0.1,58.261024475097656,1.0,2.816009044647217,full_shared_detggn_blockdiag_bxb,torch.float64,3.348420207771596e-08,1.1357369518041465e-14,7.029903923506822e-13,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.0801413357257843,0.007298130542039871,2.2639055252075195,0.0001,29,122880,77.74315769411623,122880,1.0,1e-06,paper_sgd_momentum_1e-6,1.4326717853546143,0.10497859865427017,1.0378103256225586,19.722488403320312,0.7513430118560791,-0.35795432329177856,2.3912525177001953
8,1,-0.3946143090724945,7.8606648445129395,-0.42972004413604736,-4.670684814453125,0.4375295042991638,0,0.27846625447273254,1.414213384582699,0.1656612994206614,3.1274979846784845e-05,1942.50244140625,1.0988326235404411e-14,22.627416610717773,3.5354120175322936e-13,512,0,0.9425259828567505,0.9999771137073739,0.5044135782868729,0.00010585656855255365,7618.65625,3.506491417404185e-14,42.189659118652344,1.69211950488054e-12,512,761.8656005859375,0.07136234641075134,1.0,1.0,0.06688582897186279,0.27031415700912476,0.3027258813381195,0.8929337859153748,0.9528169631958008,0.00011249999806750566,0.3017027676105499,0.0,1.0,1.0,512,0.00022500000000000005,0.1425004005432129,532.63,2.7,1617,1.0016778707504272,4.641000270843506,1.69211950488054e-12,0,0.4991625249385834,0.1,14.099203109741211,1.0,1.0016777515411377,full_shared_detggn_blockdiag_bxb,torch.float64,2.9270527335256702e-08,3.506491417404185e-14,1.69211950488054e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.06044219806790352,0.0021362416446208954,0.34764987230300903,0.00015000000000000004,39,163840,103.10695275012404,163840,1.0,1e-06,paper_sgd_momentum_1e-6,1.6266191005706787,0.10000000149011612,1.3360300064086914,14.724405288696289,1.2837146520614624,-0.41388070583343506,2.4193994998931885
8,1,-0.647860050201416,1.1840020418167114,-0.6351727247238159,-5.884744167327881,0.12059787660837173,0,0.46468159556388855,1.4138574195383062,0.07501978391092348,2.5671741241239943e-05,7904.34912109375,3.437079563931169e-14,22.627416610717773,2.073062889651249e-12,512,0,0.6707269549369812,0.869735317240195,0.41604865706860295,3.705489507410675e-05,8151.08642578125,2.047151557534304e-14,31.313358306884766,1.0826148839481377e-12,512,815.108642578125,0.24593397974967957,1.0,1.0,0.0838758572936058,0.45704901218414307,0.7153727412223816,0.6388963460922241,0.8777158260345459,4.999999509891495e-05,0.2041715830564499,0.0,1.0,1.0,512,0.0001,0.4132465124130249,786.41,1.3,1622,0.9050448536872864,23.698801040649414,2.073062889651249e-12,0,0.5524587631225586,0.1,49.4357795715332,1.0,0.9050449132919312,full_shared_detggn_blockdiag_bxb,torch.float64,3.6165634043072714e-08,3.437079563931169e-14,2.073062889651249e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.06276080012321472,-0.03643976151943207,0.19150905311107635,0.0001,49,204800,128.55372156901285,204800,1.0,1e-06,paper_sgd_momentum_1e-6,2.9928202629089355,0.12948769330978394,1.7121459245681763,4.759242534637451,1.5089166164398193,-0.6059912443161011,0.8495237231254578
8,1,-0.7448656558990479,4.948240280151367,-0.7842034101486206,-2.572657585144043,0.14459122717380524,0,0.4440517723560333,1.4141619939475691,0.04264032384341317,2.5940964405890554e-05,10584.048828125,1.650178778391795e-14,22.62741470336914,2.1929156515909808e-12,512,0,0.5639799237251282,0.7979319799904389,0.3400236605098964,3.2947020372375846e-05,12007.267578125,7.161383072925875e-15,37.69804382324219,8.425720404107703e-13,512,1200.7266845703125,0.4338241517543793,1.0,1.0,0.11418579518795013,0.4291195571422577,0.8014596700668335,0.5354225039482117,0.8295248746871948,4.999999509891495e-05,0.177189439535141,0.0,1.0,1.0,512,0.0001,0.5708862543106079,814.82,0.8,1620,0.8558889627456665,92.53519439697266,2.1929156515909808e-12,0,0.5841878652572632,0.1,453.275634765625,1.0,0.8558890223503113,full_shared_detggn_blockdiag_bxb,torch.float64,1.5789994733950152e-07,1.650178778391795e-14,2.1929156515909808e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.09376782178878784,0.0200224369764328,0.27756690979003906,0.0001,59,245760,154.57418469013646,245760,1.0,1e-06,paper_sgd_momentum_1e-6,3.8224873542785645,0.10000000149011612,1.2156047821044922,10.782659530639648,1.1264338493347168,-0.7573370337486267,0.6366350650787354
8,1,-0.9564027786254883,-0.049849580973386765,-0.9309167861938477,-4.302703380584717,0.09480562061071396,0,0.47967660427093506,1.3356598308743348,0.054684937309726483,3.120129622402601e-05,17344.14453125,4.826004695014992e-14,22.627416610717773,4.779239644944635e-12,512,0,0.38047581911087036,0.7727523376966856,0.358485825682853,2.474862958479207e-05,13198.6708984375,1.755118203121602e-14,18.327049255371094,8.863811068753064e-13,512,1319.8670654296875,0.5918137431144714,1.0,1.0,0.06940801441669464,0.4746284782886505,1.3045926094055176,0.3638135492801666,0.7573973536491394,4.999999873689376e-05,0.11136225610971451,0.0,1.0,1.0,512,0.00010000000000000003,0.775446891784668,844.25,0.7,1622,0.7686806917190552,45.354644775390625,4.779239644944635e-12,0,0.6504652500152588,0.1,107.7580795288086,1.0,0.7686805725097656,full_shared_detggn_blockdiag_bxb,torch.float64,9.594889149866503e-08,4.826004695014992e-14,4.779239644944635e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.05833642929792404,-0.058152612298727036,0.06560169905424118,0.0001,69,286720,180.25826432416216,286720,1.0,1e-06,paper_sgd_momentum_1e-6,10.0,0.3478190004825592,1.0548722743988037,2.4891726970672607,1.0495645999908447,-0.8764405846595764,0.1179465651512146
8,1,-1.0245256423950195,1.7284046411514282,-0.9825385808944702,-4.200597763061523,0.1462739259004593,0,0.48120442032814026,1.4136967486195398,0.03652010032064268,6.708651926601306e-05,38192.74609375,1.5825110678809633e-13,22.627416610717773,1.5888860342910987e-11,512,0,0.4897036850452423,0.6369316326054869,0.2794084311915374,6.827143806731328e-05,28601.19140625,4.89990271666812e-14,26.056976318359375,2.5403863522165247e-12,512,2860.119140625,0.3815053403377533,1.0,1.0,0.08611532300710678,0.4734362065792084,1.019887924194336,0.46420416235923767,0.7870380878448486,0.00011249999806750566,0.15596218407154083,0.0,1.0,1.0,512,0.00022500000000000005,0.629990816116333,830.31,1.1,1623,0.8069504499435425,46.785545349121094,1.5888860342910987e-11,0,0.6196167469024658,0.1,94.89177703857422,1.0,0.8069504499435425,full_shared_detggn_blockdiag_bxb,torch.float64,4.546665763882629e-07,1.5825110678809633e-13,1.5888860342910987e-11,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.059396304190158844,-0.0242079496383667,0.13261055946350098,0.00015000000000000004,79,327680,205.62475539231673,327680,1.0,1e-06,paper_sgd_momentum_1e-6,3.1906955242156982,0.18033643066883087,1.8230366706848145,7.2436017990112305,1.7223377227783203,-0.9344717860221863,0.7299549579620361
8,1,-1.1058673858642578,0.6841755509376526,-1.0529006719589233,-4.063515663146973,0.16242589056491852,0,0.45876622200012207,1.4142076643453712,0.036533328535079186,0.00010644025314832106,31236.63671875,8.375813531574076e-14,22.627416610717773,7.747308642272107e-12,512,0,0.4726063907146454,0.5993034166342087,0.27470326350106494,0.00010965137335006148,26007.490234375,5.065722275517917e-14,32.11850357055664,2.4003081468173305e-12,512,2600.748779296875,0.2194957137107849,1.0,1.0,0.09883401542901993,0.4479936361312866,1.0502114295959473,0.42657470703125,0.6912630200386047,0.0001687500043772161,0.2034474015235901,0.0,1.0,1.0,512,0.00033750000000000007,0.5591007471084595,791.47,1.3,1625,0.7273263335227966,21.22626495361328,7.747308642272107e-12,0,0.6874493360519409,0.1,18.764793395996094,1.0,0.7273263335227966,full_shared_detggn_blockdiag_bxb,torch.float64,5.713109203497879e-07,8.375813531574076e-14,7.747308642272107e-12,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.060475222766399384,-0.046915244311094284,0.20148402452468872,0.00022500000000000005,89,368640,231.31188748404384,368640,1.0,1e-06,paper_sgd_momentum_1e-6,2.4102063179016113,0.10000000149011612,1.810642957687378,4.602806091308594,1.7073562145233154,-1.0144215822219849,0.4191637933254242
8,1,-1.0837490558624268,0.6483002305030823,-1.0567481517791748,-3.5662121772766113,0.07153727859258652,0,0.5133275985717773,1.4142116792556614,0.04148927354327721,3.176560130668804e-05,26174.94140625,4.572935708392965e-14,22.62741470336914,1.0255936668806997e-11,512,0,0.5514618754386902,0.5693377693195185,0.25361297122664844,3.412541627767496e-05,25593.423828125,1.685975091562552e-14,34.181209564208984,2.3150185014706087e-12,512,2559.34228515625,0.15055248141288757,1.0,1.0,0.11426647007465363,0.5004482269287109,1.1111079454421997,0.45040467381477356,0.7338595390319824,4.999999873689376e-05,0.31819143891334534,0.0,1.0,1.0,512,0.0001,0.436609148979187,718.85,1.7,1445,0.8079928159713745,194.39056396484375,1.0255936668806997e-11,0,0.6188173890113831,0.1,553.4932250976562,1.0,0.8079928159713745,full_shared_detggn_blockdiag_bxb,torch.float64,3.7219467685645213e-07,4.572935708392965e-14,1.0255936668806997e-11,two_independent_raw_bxb_fp64_jacobi_cholesky,1024,0.05333194136619568,0.01650971546769142,0.22819432616233826,0.0001,99,409600,256.98070437833667,409600,1.0,1e-06,paper_sgd_momentum_1e-6,2.412741184234619,0.17156152427196503,1.6758347749710083,5.29238224029541,1.471208930015564,-1.0009489059448242,0.5459364056587219
