action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_optimizer_state_entries,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,critic_ratio_max,critic_ratio_min,critic_rows,critic_trust_reason,critic_trust_update_count_this_rollout,critic_trust_update_count_total,joint_actor_critic_cross_frobenius,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_actor_rhs_norm,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_actor_cross_frobenius,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_critic_rhs_norm,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_normalized_value_prediction_change_rms,joint_parameter_columns,joint_policy_delta_l2,joint_popart_std,joint_predicted_critic_divergence,joint_predicted_step_kl,joint_raw_value_prediction_change_rms,joint_relative_solve_residual,joint_shared_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_delta_l2,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics
14,0,-0.47109490633010864,1.419127345085144,-0.4549171030521393,-3.310206651687622,0.1418159157037735,0.0,0.004,1.9983724355697632,66.84,0.09,170,2.2076797485351562,26,0.007819510996341705,-0.016351431608200073,0.10393016040325165,0.004,199,819200,2232.793281208258,819200,1.6296480894088745,0.5459951162338257,0.4031159281730652,4.030410289764404,-0.30857449769973755,-0.45632418990135193,1.464731216430664,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,77,30.047243064965468,89.48847961425781,663.7695922851562,22.62741470336914,1.4742723364755865e-13,0,0.22648212313652039,30.047243064965468,1.4730745553970337,1.0,1025.6395263671875,7.294672012329102,30.047243064965468,2.2076797485351562,1.0,1.4141738165090645,0.7955652400520873,exact_deterministic_ggn_2b,torch.float64,0.0010950630530714989,938976,0.0017512900521978736,0.6824610233306885,2.4179237243515672e-06,3.6721889046020806e-05,0.0007473378791473806,8.027130224888419e-16,0.0009547643712721765,1.4308529226449414e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00014623926836065948,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.398307740688324,12.158897399902344,-0.45844656229019165,-3.10451340675354,0.4708007574081421,0.0,0.004,2.087698459625244,82.24,0.29,169,3.5552711486816406,26,0.0028700637631118298,-0.021084178239107132,0.49129733443260193,0.004,209,860160,2474.2311079050414,860160,1.5276492834091187,0.5060021281242371,0.23113831877708435,15.403106689453125,-0.4081016182899475,-0.45854651927948,1.7747479677200317,1.0,1.0,512,IN_BAND_UNCHANGED,1,87,24.247455536750003,649.8839721679688,608.2518310546875,22.627416610717773,4.095867684697782e-13,0,0.14063623547554016,24.247455536750003,10.617345809936523,1.0,819.7650756835938,15.860146522521973,24.247455536750003,3.555271625518799,1.0,1.4141738142835942,0.7896047939832064,exact_deterministic_ggn_2b,torch.float64,0.0018324953271076083,938976,0.001749406917952001,0.6936587691307068,6.719863449689001e-06,0.00010283011215506122,0.0012711264425888658,2.100146203558047e-15,0.0009019628632813692,4.0982234118647343e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00035501347156241536,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.49037599563598633,0.8790057301521301,-0.4709024429321289,-4.984467506408691,0.13463257253170013,0.0,0.004,1.8521709442138672,97.37,0.5,168,2.061354160308838,26,0.0025248019956052303,-0.013407155871391296,0.07908564805984497,0.004,219,901120,2716.594806846231,901120,1.7548048496246338,0.6997194886207581,0.40708446502685547,3.7638778686523438,-0.26191312074661255,-0.46514132618904114,1.307310938835144,1.0,1.0,512,IN_BAND_UNCHANGED,1,97,25.389437852186774,99.87594604492188,604.8255004882812,22.627416610717773,1.7449983392036744e-13,0,0.24255900084972382,25.389437852186774,1.721449613571167,1.0,1049.15869140625,6.363320827484131,25.389437852186774,2.061354160308838,1.0,1.4141886972865587,0.7789835731177034,exact_deterministic_ggn_2b,torch.float64,0.0012740842066705227,938976,0.0017554020741954446,0.7139630913734436,3.2410005132987862e-06,4.700950739788823e-05,0.0009096491266973317,9.499143532827996e-16,0.0009202991495840251,1.7691720965118691e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00026756501756608486,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.4346234202384949,9.29350757598877,-0.47224706411361694,-5.8515753746032715,0.3857751488685608,0.0,0.004,2.0527586936950684,85.49,0.42,170,3.431605339050293,26,0.010628859512507915,-0.03671542555093765,0.6115480065345764,0.004,229,942080,2958.246604931075,942080,2.5495076179504395,0.3493821322917938,0.3936259150505066,14.276704788208008,-0.43629369139671326,-0.5973613262176514,2.7875208854675293,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,107,45.71620256040951,400.005859375,939.7176513671875,22.627416610717773,5.966780235371022e-13,0,0.14570441842079163,45.71620256040951,16.342159271240234,1.0,1283.739013671875,17.694988250732422,45.71620256040951,3.431605100631714,1.0,1.4141738129302452,0.653433365383182,exact_deterministic_ggn_2b,torch.float64,0.0023572032805532217,938976,0.001648368313908577,0.7459803223609924,1.1102094504167326e-05,6.793629290768877e-05,0.0017584272427484393,3.0923075915020026e-15,0.0010233473731204867,5.922632906841534e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0004854156286455691,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.4195947051048279,7.903313636779785,-0.47435611486434937,-4.628384590148926,0.26775211095809937,0.0,0.004,1.9858181476593018,77.51,0.38,171,1.6504449844360352,26,0.0044989995658397675,-0.002475365065038204,0.09884226322174072,0.004,239,983040,3199.944540540222,983040,1.7337937355041504,0.6185916066169739,0.7639642357826233,13.398954391479492,-0.34185075759887695,-0.487225741147995,3.7057933807373047,1.0,1.0,512,IN_BAND_UNCHANGED,1,117,60.095971791801766,25.31869888305664,834.989501953125,22.627416610717773,2.566477922525072e-13,0,0.30294859409332275,60.095971791801766,1.3249647617340088,1.0,1312.901611328125,7.1138763427734375,60.095971791801766,1.6504449844360352,1.0,1.414175695351119,0.6892716668888993,exact_deterministic_ggn_2b,torch.float64,0.0013950539287179708,938976,0.001458844868466258,0.7931424975395203,3.891278083756333e-06,1.858956784417387e-05,0.0011064765276387334,1.4003914831434867e-15,0.0013241723645478487,2.5044021032358917e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0003440093423705548,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.452502965927124,8.749817848205566,-0.4802302420139313,-4.891249656677246,0.41823118925094604,0.0,0.004,1.996820092201233,96.31,0.59,171,2.33622145652771,26,0.0077527593821287155,-0.015934303402900696,0.43708929419517517,0.004,249,1024000,3442.0059586511925,1024000,1.9095853567123413,0.5965347290039062,0.847491443157196,12.86001968383789,-0.3174950182437897,-0.4805351495742798,2.933929204940796,1.0,1.0,512,IN_BAND_UNCHANGED,1,127,42.688178620370586,240.54611206054688,1239.0323486328125,22.627416610717773,4.120875388837922e-13,0,0.21402083337306976,42.688178620370586,2.2513670921325684,1.0,1615.2320556640625,14.959603309631348,42.688178620370586,2.336221218109131,1.0,1.4141738121427945,0.7558063076947916,exact_deterministic_ggn_2b,torch.float64,0.0012821864802390337,938976,0.001588044804520905,0.8247615694999695,3.2999580525938654e-06,8.814556349534541e-05,0.0010574981570243835,2.164090629242055e-15,0.0011970784980803728,4.138223824526214e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0002123514423146844,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.507768988609314,8.93037223815918,-0.4873420298099518,-5.131657600402832,0.4485739469528198,0.0,0.004,1.9405038356781006,93.27,0.49,169,2.3878889083862305,26,0.011751544661819935,-0.017810970544815063,0.2526624798774719,0.004,259,1064960,3684.220434281975,1064960,1.880690097808838,0.304839551448822,0.6902486085891724,12.080755233764648,-0.19880108535289764,-0.48471054434776306,2.588864803314209,1.0,1.0,512,IN_BAND_UNCHANGED,1,137,51.84675183232722,166.58920288085938,1038.2332763671875,22.627418518066406,3.26715403543069e-13,0,0.20938995480537415,51.84675183232722,2.2945356369018555,1.0,1378.9266357421875,11.373793601989746,51.84675183232722,2.3878891468048096,1.0,1.4141738094303287,0.7741896484808684,exact_deterministic_ggn_2b,torch.float64,0.001265921164304018,938976,0.0015558261657133698,0.8754152059555054,3.219263362552738e-06,5.843170583830215e-05,0.0011082066921517253,1.7462575870148793e-15,0.0012397309765219688,3.222480778060207e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00020606974430847913,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.5140872597694397,8.700136184692383,-0.5012063384056091,-4.916863918304443,0.404175728559494,0.0,0.004,1.8822671175003052,84.43,0.38,170,1.3398473262786865,26,0.01940770074725151,-0.009500013664364815,0.3520835340023041,0.004,269,1105920,3924.937115230132,1105920,2.7587709426879883,0.3415818512439728,0.7375332117080688,11.663451194763184,-0.3651517927646637,-0.4890035092830658,2.5975446701049805,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,147,59.92714049151317,34.51316452026367,1261.34423828125,22.627416610717773,4.024640799337559e-13,0,0.37317684292793274,59.92714049151317,1.0756070613861084,1.0,1643.187744140625,13.426345825195312,59.92714049151317,1.3398473262786865,1.0,1.4141738073349757,0.7584726950019194,exact_deterministic_ggn_2b,torch.float64,0.0015513867838308215,938976,0.001198735786601901,0.9051669239997864,4.79328218716546e-06,3.845069295493886e-05,0.001404264010488987,2.1211899522993856e-15,0.0015871665673330426,3.9640033889761525e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00020960593246854842,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.41862016916275024,7.480233669281006,-0.5015833377838135,-4.410187721252441,0.36113297939300537,0.0,0.004,1.9938029050827026,78.28,0.65,171,2.7511000633239746,26,0.015261376276612282,-0.011187479831278324,0.42255258560180664,0.004,279,1146880,4165.909255825914,1146880,2.286642551422119,0.4879467189311981,0.6062021255493164,11.2290678024292,-0.4757135212421417,-0.5241091251373291,3.1120033264160156,1.0,1.0,512,IN_BAND_UNCHANGED,1,157,45.77009515560984,263.16363525390625,1145.9033203125,22.62741470336914,5.399587573837595e-13,0,0.1817454844713211,45.77009515560984,6.577181816101074,1.0,1592.0224609375,14.708736419677734,45.77009515560984,2.7511000633239746,1.0,1.4141738138552535,0.6771018869147359,exact_deterministic_ggn_2b,torch.float64,0.0018650511046871543,938976,0.0014181487495079637,0.9381857514381409,6.9521174737019464e-06,6.95413546054624e-05,0.0017497644294053316,2.847693336234087e-15,0.001400546170771122,5.385037636193388e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00016533084271941334,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.40431877970695496,7.168822765350342,-0.5027737021446228,-3.9823553562164307,0.4823547601699829,0.0,0.004,1.813462495803833,99.96,0.86,167,1.6022775173187256,26,0.0075592901557683945,-0.003048662096261978,0.7029353380203247,0.004,289,1187840,4407.553899894003,1187840,1.5422800779342651,0.4295569062232971,0.5526435375213623,10.865580558776855,-0.33808037638664246,-0.49951645731925964,2.79593825340271,1.0,1.0,512,IN_BAND_UNCHANGED,1,167,35.39396770151166,32.64506912231445,986.8193969726562,22.62741470336914,6.110012947471799e-13,0,0.3120557963848114,35.39396770151166,14.87753677368164,1.0,1619.80322265625,18.971107482910156,35.39396770151166,1.6022775173187256,1.0,1.414173809900342,0.7116852501834099,exact_deterministic_ggn_2b,torch.float64,0.004797907080501318,938976,0.001048424979671836,0.9678755402565002,4.636022640625015e-05,2.5431509129703045e-05,0.004643776919692755,3.111356438479634e-15,0.0016729168128222227,6.159127639430816e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00031961494823917747,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.44712018966674805,7.277149677276611,-0.5050202012062073,-1.6281485557556152,0.1819949448108673,0.0,0.004,1.8900794982910156,76.3,0.37,168,2.8151791095733643,26,0.01248449832201004,-0.02965736575424671,0.13615475594997406,0.004,299,1228800,4655.143724462949,1228800,3.8554580211639404,0.4774634540081024,0.28682196140289307,10.591256141662598,-0.4098908603191376,-0.5024705529212952,1.7273905277252197,1.0,1.0,512,IN_BAND_UNCHANGED,1,177,25.238995089025853,128.00303649902344,863.5857543945312,22.62741470336914,2.6758216544929025e-13,0,0.17760860919952393,25.238995089025853,5.126654148101807,1.0,1297.1566162109375,8.349325180053711,25.238995089025853,2.815178871154785,1.0,1.4141818390713574,0.6443767858131658,exact_deterministic_ggn_2b,torch.float64,0.0015983732882887125,938976,0.001251419191248715,0.991551399230957,5.175019850867102e-06,3.230266156606376e-05,0.0015848692273721099,1.4554117956818858e-15,0.0015508531359955668,3.174737519914518e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00016972034063655883,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.5440640449523926,8.26367473602295,-0.514843225479126,-4.712118148803711,0.31731390953063965,0.0,0.004,1.783073902130127,85.34,0.33,168,1.290410041809082,26,0.010436754673719406,-0.006541606038808823,0.18043629825115204,0.004,309,1269760,4898.095616190229,1269760,2.002817392349243,0.5166319608688354,0.5571935176849365,10.317280769348145,-0.12458367645740509,-0.5123642086982727,1.7703766822814941,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,187,37.263911540468044,48.091705322265625,1438.0145263671875,22.627416610717773,4.5062542017566987e-13,0,0.3874737322330475,37.263911540468044,0.7041981220245361,1.0,2396.5234375,9.611627578735352,37.263911540468044,1.290410041809082,1.0,1.41420088170372,0.7163915681384194,exact_deterministic_ggn_2b,torch.float64,0.0013026235392317176,938976,0.0014658198924735188,1.016102910041809,3.3832138797151856e-06,5.776233956567012e-05,0.0013235996011644602,2.4333926532751925e-15,0.001326593104749918,4.503606094274535e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0003025061159860343,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.5170947313308716,8.112347602844238,-0.5169243812561035,-3.4350388050079346,0.4258335828781128,0.0,0.004,1.88865327835083,92.06,0.58,168,2.1404972076416016,26,0.003857112256810069,0.005294553004205227,0.3022024631500244,0.004,319,1310720,5141.185394736007,1310720,1.7026723623275757,0.630078136920929,0.3220890760421753,10.25363826751709,-0.387249618768692,-0.5128833651542664,1.5041154623031616,1.0,1.0,512,IN_BAND_UNCHANGED,1,197,30.95958429904486,85.72065734863281,1000.69970703125,22.627416610717773,2.750632027701981e-13,0,0.23359058797359467,30.95958429904486,2.9297537803649902,1.0,1568.568115234375,12.438957214355469,30.95958429904486,2.1404972076416016,1.0,1.4142132644409084,0.7176252370445282,exact_deterministic_ggn_2b,torch.float64,0.0016018864698708057,938976,0.001612358377315104,1.0216856002807617,5.115544354339363e-06,3.741848559002392e-05,0.0016366243362426758,1.4685130718653268e-15,0.001118816900998354,2.882200805752023e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0003854134411085397,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.42317700386047363,9.894132614135742,-0.524900496006012,-2.7853615283966064,0.5153670907020569,0.0,0.004,1.7140283584594727,88.4,0.57,169,2.28387451171875,26,0.009546365588903427,-0.019001666456460953,0.5805992484092712,0.004,329,1351680,5384.048627126031,1351680,1.5742534399032593,0.44686242938041687,0.214936301112175,10.227641105651855,-0.3920993208885193,-0.520173966884613,1.2881994247436523,1.0,1.0,512,IN_BAND_UNCHANGED,1,207,26.312427114480993,75.99132537841797,976.2705688476562,22.627418518066406,2.338770917765852e-13,0,0.21892622113227844,26.312427114480993,4.264985084533691,1.0,1497.717041015625,17.241426467895508,26.312427114480993,2.28387451171875,1.0,1.4141961104938119,0.7018315316977713,exact_deterministic_ggn_2b,torch.float64,0.0018136498983949423,938976,0.0013593523763120174,1.0235105752944946,6.541285074490588e-06,2.9137319870642386e-05,0.001856289803981781,1.203128274158593e-15,0.0014189529465511441,2.8028160597835973e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00037247929139994085,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.571632981300354,0.5684618353843689,-0.532682478427887,-3.0760715007781982,0.08558862656354904,0.0,0.004,1.964364767074585,87.09,0.22,172,2.450833559036255,26,0.007688414305448532,-0.026259733363986015,0.0532492958009243,0.004,339,1392640,5625.699101042934,1392640,1.622563362121582,0.4637773931026459,0.0687146782875061,2.6116106510162354,-0.43529513478279114,-0.522325336933136,0.7838507890701294,1.0,1.0,512,IN_BAND_UNCHANGED,1,217,25.65076542809198,127.47605895996094,1022.60009765625,22.62741470336914,1.5010514553542546e-13,0,0.2040122151374817,25.65076542809198,1.9777991771697998,1.0,1178.3896484375,5.22145938873291,25.65076542809198,2.450833559036255,1.0,1.4142094057324217,0.7329587353724102,exact_deterministic_ggn_2b,torch.float64,0.0011448682053014636,938976,0.001504966989159584,1.0233947038650513,2.634174506965792e-06,4.244543379172683e-05,0.0011716521112248302,8.145394608526408e-16,0.0013130900915712118,1.4896770935980804e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.000104304745036643,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.44465088844299316,10.15284538269043,-0.5273734927177429,-2.975266456604004,0.5272975564002991,0.0,0.004,1.885741114616394,78.0,0.38,168,2.0265514850616455,26,0.0032204696908593178,-0.000792166218161583,0.3712102174758911,0.004,349,1433600,5869.6420639171265,1433600,1.5239105224609375,0.5334824919700623,0.19425848126411438,10.262882232666016,-0.4262705147266388,-0.5242617130279541,1.2335983514785767,1.0,1.0,512,IN_BAND_UNCHANGED,1,227,22.641105338422065,74.0494384765625,934.0980224609375,22.627418518066406,3.83910759340723e-13,0,0.24672454595565796,22.641105338422065,1.8358774185180664,1.0,1503.9278564453125,13.786211967468262,22.641105338422065,2.0265514850616455,1.0,1.41420769911248,0.7179968554216122,exact_deterministic_ggn_2b,torch.float64,0.0013398496666923165,938976,0.0012297529028728604,1.0197323560714722,3.5761720482696546e-06,3.606089376262389e-05,0.0013662880519405007,2.0344301988191657e-15,0.0015558255836367607,3.8117299138744817e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0002590436488389969,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.5492448806762695,0.4929221570491791,-0.5300952792167664,-3.6799445152282715,0.07552046328783035,0.0,0.004,1.8390412330627441,94.24,0.21,169,1.5404471158981323,26,0.0029241954907774925,-0.0067448969930410385,0.08250788599252701,0.004,359,1474560,6111.981658109929,1474560,1.4324212074279785,0.6004154086112976,0.03172893077135086,2.817488193511963,-0.43691664934158325,-0.5360732078552246,0.7710283994674683,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,237,24.08608729606435,84.29893493652344,795.7110595703125,22.62741470336914,1.6016685432189669e-13,0,0.3245810568332672,24.08608729606435,1.305270791053772,1.0,1355.1181640625,6.499541282653809,24.08608729606435,1.5404472351074219,1.0,1.4142128198486628,0.6742624770166292,exact_deterministic_ggn_2b,torch.float64,0.001482384162954986,938976,0.0015727761201560497,1.0212246179580688,4.4004491428495385e-06,7.104907854227349e-05,0.0015138471499085426,8.763061052189737e-16,0.001225311541929841,1.605034406261596e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0001580451353220269,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.4489729404449463,7.649684429168701,-0.5291799902915955,-3.526109218597412,0.3641747832298279,0.0,0.004,1.7105088233947754,101.44,0.64,170,2.21616268157959,26,0.006523339077830315,-0.0053534237667918205,0.514072060585022,0.004,369,1515520,6353.044151281938,1515520,2.379277229309082,0.48181405663490295,0.43398910760879517,10.22606086730957,-0.28911396861076355,-0.5332642793655396,1.6997150182724,1.0,1.0,512,IN_BAND_UNCHANGED,1,247,41.606365736454805,202.20944213867188,1399.97900390625,22.62742042541504,8.336761482237595e-13,0,0.22561518847942352,41.606365736454805,18.069644927978516,1.0,2309.25732421875,16.223590850830078,41.606365736454805,2.216162919998169,1.0,1.4141738087885576,0.6297421628357341,exact_deterministic_ggn_2b,torch.float64,0.0038359921891242266,938976,0.0013561336090788245,1.022648572921753,2.9433118470478803e-05,8.234327106038108e-05,0.00392287177965045,4.353843057942044e-15,0.0014110356569290161,8.448709225371337e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00041216149111278355,1.0,1e-06,paper_sgd_momentum_1e-6
