action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_optimizer_state_entries,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,critic_ratio_max,critic_ratio_min,critic_rows,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics
14,0,-1.0133367776870728,-0.09273799508810043,-1.0122660398483276,-2.665555238723755,0.030730728060007095,0.0,0.006000000000000002,0.6369814276695251,320.63,10.48,249,0.49168282747268677,26,0.01217140443623066,-0.03941826894879341,0.021970205008983612,0.006000000000000002,489,2007040,6288.478094177786,2007040,1.7557704448699951,0.2704739272594452,0.13252252340316772,2.4856998920440674,-0.08951688557863235,-1.0284583568572998,0.6536287069320679,1.0,1.0,512,2.571559429168701,2221.328125,1.1509074453374585e-13,0,1.0,0.1,0.5520508289337158,1.0,4070.42041015625,75.93817594395851,0.49168282747268677,1.0,1.4142135623730951,0.1570733728877307,exact_deterministic_ggn_2b,torch.float64,4.628807073459029e-05,2.656633720286711e-15,1.1087921831210439e-13,symmetrized_jacobi_fullfp64_chunked,1024,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-1.0970838069915771,-0.4312756061553955,-1.087467074394226,-2.0484299659729004,0.0203364547342062,0.0,0.006000000000000002,0.587273120880127,295.75,10.52,249,0.48105570673942566,26,0.023538371548056602,-0.02532084286212921,0.0140244634822011,0.006000000000000002,979,4014080,14357.768184105866,4014080,2.563445806503296,0.21895994246006012,0.049109213054180145,3.1622016429901123,-0.3426681458950043,-1.1061527729034424,1.18931245803833,1.0,1.0,512,4.464141845703125,3294.32861328125,1.5636231679143003e-13,0,1.0,0.1,0.6634604930877686,1.0,4634.68896484375,141.0678226377473,0.48105570673942566,1.0,1.4142135623730951,0.07110562040480166,exact_deterministic_ggn_2b,torch.float64,8.035455539356917e-05,2.9329666511987576e-15,1.6220691574443196e-13,symmetrized_jacobi_fullfp64_chunked,1024,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-1.1275248527526855,-0.43958133459091187,-1.1297824382781982,-1.9651812314987183,0.023143433034420013,0.0,0.004000000000000001,0.6198350191116333,310.08,10.55,250,0.4742595851421356,26,0.00813867338001728,0.0012046974152326584,0.013385411351919174,0.004000000000000001,1459,5980160,22273.592992143705,5980160,1.879313588142395,0.5439178943634033,-0.11482137441635132,2.9406940937042236,-0.38758060336112976,-1.1385935544967651,0.7067877650260925,1.0,1.0,512,2.856105089187622,4305.8056640625,1.7670686752883738e-13,0,1.0,0.1,0.44199496507644653,1.0,5183.890625,130.1579161140277,0.47425955533981323,1.0,1.4142135623730951,0.07060329029614763,exact_deterministic_ggn_2b,torch.float64,2.284884249093011e-05,3.9699162626024556e-15,1.7615140126485893e-13,symmetrized_jacobi_fullfp64_chunked,1024,1.0,1e-06,paper_sgd_momentum_1e-6
