action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_optimizer_state_entries,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var,critic_ratio_max,critic_ratio_min,critic_rows,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_curvature_coef,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_predicted_step_kl,joint_relative_solve_residual,joint_solve_residual,joint_solver_mode,joint_system_rows,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics
14,0,0.000318087637424469,5.315927505493164,-0.5706868171691895,-0.571297287940979,1.0002427101135254,0.15625,0.001,2.6974260807037354,94.61538461538461,1.1923077,352,0.5618769526481628,0,0.010993469506502151,-0.008815377950668335,0.8417596817016602,0.001,0,4096,11.646885544992983,4096,1.5300532579421997,0.6339206695556641,3.3527612686157227e-08,5.315587043762207,-0.5710437297821045,-0.5714790225028992,1.0002442598342896,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-0.35317009687423706,4.725618362426758,-0.7425003051757812,-2.0479044914245605,0.8102853298187256,0.0,0.004,2.6954870223999023,120.08771929824562,1.6140351,233,0.46409615874290466,26,0.0003188287955708802,-0.0018358789384365082,0.8529304265975952,0.006,1,8192,29.414588013198227,8192,1.115943193435669,0.8804369568824768,0.27426204085350037,5.586862564086914,-0.058773405849933624,-0.8297178745269775,0.9034886956214905,1.0,1.0,512,0.10973209142684937,72.85475158691406,6.575804150992786e-14,0,1.0,0.1,7.556589126586914,1.0,158.8946533203125,9.20086786381145,0.46409615874290466,1.0,1.409049678315969,1.097877173866876,exact_deterministic_ggn_2b,torch.float64,8.778568485467986e-07,8.97001628186472e-16,6.539544100251872e-14,symmetrized_jacobi_fullfp64_chunked,1024,1.0,1e-06,paper_sgd_momentum_1e-6
14,0,-0.654434084892273,5.819695472717285,-0.9594050049781799,-2.5797977447509766,0.8047699332237244,0.0,0.006,2.690908432006836,123.26373626373626,1.5494505,251,0.48555904626846313,26,0.0012102191103622317,-0.005082855001091957,0.8579789400100708,0.009000000000000001,2,12288,45.7328540738672,12288,1.1504286527633667,0.9058781266212463,0.3621176481246948,6.852663516998291,0.19975578784942627,-0.9698513746261597,0.9959903359413147,1.0,1.0,512,0.15506291389465332,81.32987213134766,7.534559052568742e-14,0,1.0,0.1,1.8605821132659912,1.0,207.57327270507812,12.091550654117903,0.48555904626846313,1.0,1.4051549015514813,1.0439728627694747,exact_deterministic_ggn_2b,torch.float64,2.791132601487334e-06,1.0526229834182929e-15,7.950013672576934e-14,symmetrized_jacobi_fullfp64_chunked,1024,1.0,1e-06,paper_sgd_momentum_1e-6
