action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,transitions_so_far,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.8879548907279968,4.260831832885742,-0.9591127038002014,-5.234031677246094,0.4524657130241394,0.0,0.5,2.6779942512512207,127.83,1.83,832,1.9468144178390503,0.005796728655695915,-0.014523215591907501,0.18314221501350403,0.5,9,40960,50.842210354981944,40960,2.52124285697937,0.6263585686683655,0.8895406723022461,5.594504356384277,0.7380604147911072,-1.069296956062317,1.388300895690918
14,0,-1.0131006240844727,1.6263799667358398,-1.0763273239135742,-3.9488449096679688,0.27113139629364014,0.0,0.5,2.639798641204834,127.25,1.74,830,1.24465012550354,0.015255729667842388,0.012493405491113663,0.10543783754110336,0.5,19,81920,101.20987174997572,81920,2.7190966606140137,0.47593221068382263,0.18294735252857208,4.496639728546143,-0.2126525342464447,-1.3204964399337769,1.2087173461914062
14,0,-0.8424373269081116,1.4827548265457153,-0.8990660309791565,-4.5959320068359375,0.21112659573554993,0.0,0.5,2.582674980163574,152.42,2.72,834,1.0455546379089355,0.02798263169825077,0.05431968346238136,0.08730411529541016,0.5,29,122880,151.68867797695566,122880,4.807453155517578,0.39166370034217834,0.3771652281284332,4.137837886810303,0.20895594358444214,-1.6097110509872437,1.3868207931518555
14,0,-1.0101267099380493,0.6170103549957275,-0.9877676367759705,-2.8291633129119873,0.157771036028862,0.0,0.09876543209876543,2.465115785598755,178.94,3.91,831,0.49707162380218506,0.034876756370067596,-0.06537174433469772,0.04846099764108658,0.09876543209876543,39,163840,202.15072966890875,163840,2.394695281982422,0.11847016960382462,0.9013881087303162,4.1387858390808105,0.5331049561500549,-1.2676911354064941,1.8267565965652466
14,0,-1.017388105392456,1.141025424003601,-1.0021331310272217,-3.4914238452911377,0.1310770958662033,0.0,0.01950922115531169,2.367330312728882,189.61,4.31,832,0.5276288390159607,0.04478655010461807,-0.0928879976272583,0.027821049094200134,0.013006147436874461,49,204800,252.46741987892892,204800,2.4124743938446045,0.1634943187236786,0.6716105937957764,4.910634517669678,0.42854928970336914,-1.2079600095748901,1.7678399085998535
14,0,-1.042574405670166,0.45895588397979736,-1.0288774967193604,-3.1200757026672363,0.09665793925523758,0.0,0.000507479613449148,2.3523178100585938,216.12,4.4,833,0.5589063167572021,0.05033694580197334,-0.09538888931274414,0.0235991720110178,0.00033831974229943195,59,245760,302.63178181892727,245760,3.0861618518829346,0.10000000149011612,0.43920063972473145,3.5882227420806885,0.2682175636291504,-1.0890380144119263,0.7222456932067871
14,0,-1.065384030342102,0.9423995614051819,-1.0729153156280518,-2.7549455165863037,0.08161608874797821,0.0,0.0292638317329675,2.32429838180542,206.94,4.54,825,0.5490779280662537,0.05107951536774635,-0.0800761878490448,0.030117567628622055,0.019509221155311667,69,286720,353.0574700839352,286720,3.1982059478759766,0.16362985968589783,0.6497454643249512,3.6742477416992188,0.49050191044807434,-1.1534724235534668,1.0276259183883667
14,0,-1.1417063474655151,0.41162142157554626,-1.1262367963790894,-3.455859422683716,0.09069173783063889,0.0,0.0002255464948662878,2.1512489318847656,234.19,5.29,829,0.4854046404361725,0.07131341099739075,-0.11249883472919464,0.02077285200357437,0.00015036432991085853,79,327680,403.52293872693554,327680,2.719762086868286,0.10000000149011612,0.5753597617149353,3.457747220993042,0.3368977904319763,-1.2133070230484009,1.2359304428100586
14,0,-1.1593084335327148,0.45089831948280334,-1.1526520252227783,-3.194150686264038,0.060939397662878036,0.0,0.0007593749999999996,2.0248489379882812,255.44,5.66,835,0.5064318776130676,0.060885004699230194,-0.07149451971054077,0.012835702858865261,0.0005062499999999998,89,368640,453.5984537649201,368640,3.2401275634765625,0.10000000149011612,0.7241159677505493,4.243885517120361,0.4678631126880646,-1.2741026878356934,1.6019881963729858
14,0,-1.1849106550216675,0.0023560107219964266,-1.1515522003173828,-3.4311490058898926,0.09041956067085266,0.0,0.008649755859374999,1.9822406768798828,286.08,6.51,834,0.4546629786491394,0.04976223409175873,-0.050441622734069824,0.014360998757183552,0.005766503906249999,99,409600,503.8003088979749,409600,2.807136297225952,0.10000000149011612,0.7755300402641296,4.196674346923828,0.6595086455345154,-1.3378069400787354,1.290886402130127
14,0,-1.1970293521881104,-0.20913247764110565,-1.192253589630127,-2.5620534420013428,0.06808856129646301,0.0,0.029192926025390618,2.0048885345458984,286.41,6.29,834,0.5132842063903809,0.04867500066757202,-0.0421861857175827,0.014428874477744102,0.019461950683593746,109,450560,554.040411985945,450560,3.054786443710327,0.10248004645109177,0.4386330544948578,3.9357411861419678,0.5034642815589905,-1.2544255256652832,0.7187392115592957
14,0,-1.2280845642089844,-0.33248504996299744,-1.1963226795196533,-3.0334463119506836,0.06339506804943085,0.0,0.019461950683593746,1.8760528564453125,275.73,6.75,836,0.49415093660354614,0.034742895513772964,-0.06983731687068939,0.008374573662877083,0.019461950683593746,119,491520,604.3415165949846,491520,3.0406742095947266,0.1344965100288391,1.0594180822372437,4.549952983856201,0.6823877692222595,-1.2411463260650635,2.2071337699890137
14,0,-1.221601963043213,-0.4152429699897766,-1.200918436050415,-3.514141798019409,0.04861621931195259,0.0,0.001139062499999999,1.803734302520752,287.82,7.76,826,0.44946107268333435,0.05225100368261337,-0.041081804782152176,0.008939373306930065,0.0007593749999999993,129,532480,654.6309191259788,532480,2.8080458641052246,0.10000000149011612,0.8169618844985962,4.712860107421875,0.6698556542396545,-1.7554397583007812,1.6853097677230835
14,0,-1.185386061668396,0.3498339354991913,-1.1844162940979004,-3.054238796234131,0.0824446901679039,0.0,0.00170859375,1.8166913986206055,268.49,6.38,826,0.4807639718055725,0.041088249534368515,-0.020243847742676735,0.007018277421593666,0.0011390625,139,573440,705.0345529390033,573440,2.797630548477173,0.10000000149011612,0.9524589776992798,4.276222229003906,0.8487412929534912,-1.229162573814392,1.169986605644226
14,0,-1.2051981687545776,-0.1615602821111679,-1.1991442441940308,-3.9308292865753174,0.08364922553300858,0.0,0.029192926025390618,1.9554924964904785,334.55,9.74,829,0.3936430811882019,0.051161620765924454,-0.01891137659549713,0.010584287345409393,0.019461950683593746,149,614400,755.555940690916,614400,3.041558265686035,0.10000000149011612,0.6263569593429565,3.6379361152648926,0.6026191115379333,-1.4297071695327759,1.090569019317627
14,0,-1.2192416191101074,0.01721549779176712,-1.2327499389648438,-3.1406872272491455,0.08622252196073532,0.0,0.0001,1.7477777004241943,336.47,7.85,830,0.5354978442192078,0.060624297708272934,-0.013202841393649578,0.01715318113565445,0.0001,159,655360,806.1325614129892,655360,2.8203160762786865,0.10000000149011612,0.9686341285705566,4.174424648284912,0.872161328792572,-1.263426423072815,1.1704490184783936
14,0,-1.2475990056991577,0.7387295365333557,-1.2384642362594604,-3.192856550216675,0.11818833649158478,0.0,0.0017085937499999992,1.7565312385559082,391.67,10.71,814,0.45534422993659973,0.05848456174135208,-0.009636053815484047,0.008851761929690838,0.0011390624999999995,169,696320,856.778271434945,696320,10.0,0.10000000149011612,1.0677622556686401,3.945061683654785,0.9101011753082275,-1.363274097442627,1.7470636367797852
14,0,-1.3368780612945557,-0.6575648188591003,-1.307602047920227,-3.3057241439819336,0.053593285381793976,0.0,0.001139062499999999,1.87003493309021,300.38,7.68,835,0.5253550410270691,0.05766787379980087,-0.03450661897659302,0.007929012179374695,0.0007593749999999993,179,737280,907.2365615100134,737280,4.984311103820801,0.10000000149011612,0.4869568347930908,4.267663955688477,0.627070426940918,-1.3467875719070435,0.7332688570022583
14,0,-1.2178000211715698,0.5095329880714417,-1.2356327772140503,-2.462862968444824,0.07753615826368332,0.0,0.0007593749999999996,1.853049635887146,337.34,9.26,830,0.4723828434944153,0.05248648673295975,-0.05578293651342392,0.01170345302671194,0.0005062499999999998,189,778240,957.5851446409943,778240,3.254164218902588,0.1740892231464386,0.8840668797492981,4.417446613311768,0.7409119009971619,-1.4034440517425537,1.8394479751586914
14,0,-1.261237621307373,0.16966015100479126,-1.2406891584396362,-4.727519989013672,0.12626515328884125,0.0,0.22168378200531003,1.7915931940078735,303.44,8.99,833,1.649423360824585,0.04081036150455475,-0.029952293261885643,0.05313395708799362,0.14778918800354002,199,819200,1008.0175457060104,819200,2.306321382522583,0.10000000149011612,1.2322924137115479,4.815709114074707,0.8458735346794128,-1.268175721168518,2.3676559925079346
14,0,-1.279026746749878,-0.30017900466918945,-1.2458913326263428,-3.3036696910858154,0.08892160654067993,0.0,0.0007593749999999993,1.8822811841964722,341.43,7.98,840,0.4399081766605377,0.05730200186371803,-0.08358079195022583,0.008836064487695694,0.0005062499999999995,209,860160,1057.9436471780064,860160,2.5428805351257324,0.10000000149011612,0.7632466554641724,4.202022075653076,0.5846925377845764,-1.2822083234786987,0.9058725833892822
14,0,-1.286706566810608,0.04506779834628105,-1.270690679550171,-2.6709890365600586,0.07031221687793732,0.0,0.0129746337890625,1.805957555770874,345.47,9.25,834,0.4640037715435028,0.04871044307947159,-0.04166736453771591,0.008194960653781891,0.008649755859375,219,901120,1107.8353491359157,901120,2.413012742996216,0.10000000149011612,0.9177404642105103,4.279832363128662,0.5763568878173828,-1.3237718343734741,1.859464168548584
14,0,-1.253892421722412,-0.2627558708190918,-1.2489093542099,-3.102311134338379,0.05004474148154259,0.0,0.043789389038085935,1.746395230293274,407.85,11.0,844,0.5034359097480774,0.04129432886838913,-0.047923434525728226,0.009270847775042057,0.029192926025390625,229,942080,1157.6278918519383,942080,2.3747475147247314,0.10000000149011612,0.6434827446937561,4.447677135467529,0.34036144614219666,-1.258836030960083,1.152907133102417
14,0,-1.2141666412353516,-0.1736559420824051,-1.214753270149231,-3.5946922302246094,0.0658661276102066,0.0,0.005766503906249999,1.90336012840271,355.24,11.15,844,0.4332598149776459,0.051184602081775665,-0.01406143605709076,0.009831549599766731,0.003844335937499999,239,983040,1207.3874708999647,983040,3.058657169342041,0.17865696549415588,0.8360824584960938,4.2963128089904785,0.626234769821167,-1.274550199508667,1.574972152709961
14,0,-1.2464618682861328,-0.39019280672073364,-1.2299463748931885,-2.667302370071411,0.05470780283212662,0.0,0.002562890625,2.0171878337860107,342.23,9.95,840,0.431946724653244,0.0701463520526886,-0.054639700800180435,0.00716994795948267,0.00170859375,249,1024000,1257.2884967409773,1024000,2.5704421997070312,0.10000000149011612,0.6081525087356567,4.2745442390441895,0.29798924922943115,-1.2436012029647827,1.427722692489624
14,0,-1.28379487991333,0.03973664715886116,-1.2362730503082275,-4.494687080383301,0.13254715502262115,0.0,0.01946195068359375,1.9626202583312988,354.97,9.26,833,0.42072221636772156,0.033226270228624344,-0.03941953182220459,0.010908860713243484,0.01946195068359375,259,1064960,1307.2117093559355,1064960,2.139315366744995,0.10000000149011612,0.5495713949203491,4.822578430175781,0.24055854976177216,-1.2352653741836548,1.774143099784851
14,0,-1.2297213077545166,-0.07512167096138,-1.2160261869430542,-5.2928056716918945,0.09395591169595718,0.0,0.029192926025390618,2.0566980838775635,362.4,11.04,844,0.526738703250885,0.04127102717757225,-0.03750477358698845,0.012873159721493721,0.019461950683593746,269,1105920,1357.0787981399335,1105920,3.20414400100708,0.10000000149011612,0.8517780900001526,4.5848307609558105,0.6515299081802368,-1.237048864364624,1.695311427116394
14,0,-1.2582893371582031,-0.2899759113788605,-1.2278599739074707,-2.657006025314331,0.04423312842845917,0.0,0.0001,1.8421430587768555,372.34,9.21,843,0.4640645384788513,0.05895695462822914,-0.0263072419911623,0.0068171340972185135,0.0001,279,1146880,1406.9475745209493,1146880,2.9436399936676025,0.10000000149011612,0.616395115852356,3.8251373767852783,0.3234366178512573,-1.2404582500457764,1.6539775133132935
14,0,-1.21249520778656,-0.49523600935935974,-1.1893123388290405,-3.020946741104126,0.04900522902607918,0.0,0.0002249999999999999,1.9271221160888672,328.43,10.51,830,0.489577054977417,0.04204179346561432,-0.07319273054599762,0.008302980102598667,0.00014999999999999993,289,1187840,1456.9794675109442,1187840,3.0971832275390625,0.10000000149011612,0.7578867673873901,4.0359883308410645,0.5889942646026611,-1.4723230600357056,2.0754098892211914
14,0,-1.185920000076294,0.24447830021381378,-1.1824463605880737,-2.1611430644989014,0.04360351711511612,0.0,0.005766503906249995,1.642646074295044,362.38,10.13,840,0.5207534432411194,0.04937320202589035,-0.03133310750126839,0.005317416042089462,0.003844335937499997,299,1228800,1507.011364483973,1228800,3.2682647705078125,0.10000000149011612,0.8559957146644592,4.185391902923584,0.5298680663108826,-1.2111767530441284,2.07611083984375
14,0,-1.1577701568603516,-0.3587796986103058,-1.1647056341171265,-2.0363547801971436,0.026056265458464622,0.0,0.02919292602539061,1.6648414134979248,373.69,10.71,843,0.4529345631599426,0.04449157416820526,-0.031678564846515656,0.005420418921858072,0.01946195068359374,309,1269760,1556.7294876329834,1269760,4.931771755218506,0.1528048813343048,1.2256689071655273,4.398072719573975,1.715257167816162,-1.2055087089538574,1.795461893081665
14,0,-1.1718238592147827,-0.3615129590034485,-1.15418541431427,-3.152695417404175,0.052224479615688324,0.0,0.14778918800353996,1.790525197982788,387.76,11.67,827,1.274192214012146,0.02566669136285782,-0.01857169345021248,0.032546862959861755,0.14778918800353996,319,1310720,1606.3767200539587,1310720,2.774275779724121,0.11846564710140228,1.1079955101013184,4.420149326324463,0.7774487733840942,-1.216874122619629,1.9071648120880127
14,0,-1.1363959312438965,-0.3705988824367523,-1.144911289215088,-2.0658180713653564,0.028981132432818413,0.0,0.0001,1.8512210845947266,367.07,10.04,842,0.4851958155632019,0.05181308090686798,0.00985476654022932,0.005811302922666073,0.0001,329,1351680,1655.8656576749636,1351680,3.303208589553833,0.2001802623271942,0.6914725303649902,4.47210693359375,-0.276536762714386,-1.4692457914352417,3.2398459911346436
14,0,-1.1347243785858154,-0.43236663937568665,-1.1123802661895752,-2.6160449981689453,0.03540775924921036,0.0,0.00015000000000000004,1.8619561195373535,395.02,11.35,841,0.43612781167030334,0.07128425687551498,-0.061995550990104675,0.006585800554603338,0.00010000000000000003,339,1392640,1705.3284624889493,1392640,2.0887844562530518,0.10000000149011612,0.2048763930797577,3.3302838802337646,-0.20362994074821472,-1.5358251333236694,1.3821189403533936
14,0,-1.1418441534042358,0.27528631687164307,-1.1339088678359985,-2.181892156600952,0.027063483372330666,0.0,0.008649755859374995,1.8486008644104004,361.02,8.96,831,0.45109978318214417,0.040476296097040176,-0.012397291138768196,0.004498129244893789,0.005766503906249997,349,1433600,1754.9390941699967,1433600,3.0306832790374756,0.1917155683040619,0.36310654878616333,3.839197874069214,-0.26800474524497986,-1.1849924325942993,2.0594449043273926
14,0,-1.1087896823883057,-0.303796648979187,-1.1187000274658203,-1.6653908491134644,0.021050743758678436,0.0,0.0001,1.9816184043884277,373.46,11.06,837,0.4619564116001129,0.04733419418334961,-0.03649138659238815,0.004040705971419811,0.0001,359,1474560,1804.4898527989862,1474560,2.5265562534332275,0.20723289251327515,0.5021889209747314,3.0595662593841553,-0.13943663239479065,-1.1424882411956787,1.5790351629257202
14,0,-1.1035947799682617,-0.10519243031740189,-1.0977250337600708,-3.9105606079101562,0.0475495420396328,0.0,0.012974633789062497,1.9180883169174194,258.51,6.57,842,0.4516007900238037,0.04069729149341583,-0.0660509467124939,0.004994305316358805,0.008649755859374999,369,1515520,1853.948293010937,1515520,4.533719062805176,0.10000000149011612,0.23138287663459778,3.430061101913452,-0.28521081805229187,-1.225207805633545,1.8335908651351929
14,0,-1.166736125946045,-0.6130086183547974,-1.1393150091171265,-2.024141311645508,0.039786748588085175,0.0,0.00010000000000000003,1.4932537078857422,262.69,5.94,842,0.5028602480888367,0.09933063387870789,-0.13937702775001526,0.008149008266627789,0.0001,379,1556480,1903.2684067320079,1556480,3.3698995113372803,0.10000000149011612,0.6373721361160278,3.149836301803589,0.13108862936496735,-1.2503154277801514,1.8778718709945679
14,0,-1.1350650787353516,-0.3505837321281433,-1.1048163175582886,-4.624418258666992,0.06260064244270325,0.0,0.003844335937499999,1.6959298849105835,286.64,7.93,842,0.3853360116481781,0.06358399242162704,-0.05808786302804947,-0.0019688941538333893,0.002562890624999999,389,1597440,1952.6088428589283,1597440,5.649965286254883,0.10000000149011612,0.49169838428497314,2.9803566932678223,-0.07201547920703888,-1.1487669944763184,1.6323868036270142
14,0,-1.1386816501617432,-0.4364638924598694,-1.1244699954986572,-2.1453590393066406,0.027935955673456192,0.0,0.0005062499999999998,1.6336396932601929,375.86,10.8,842,0.4528188705444336,0.0636289119720459,-0.07793137431144714,0.005868470761924982,0.00033749999999999986,399,1638400,2002.113538165926,1638400,3.5973076820373535,0.10000000149011612,0.7617362141609192,3.4031784534454346,0.10319691151380539,-1.1831156015396118,2.205634117126465
14,0,-1.1120187044143677,-0.3038356900215149,-1.1127957105636597,-1.5563101768493652,0.013732642866671085,0.0,0.00014999999999999988,1.4782752990722656,357.79,9.24,841,0.5003958344459534,0.04987044632434845,-0.08975397050380707,0.0033932714723050594,0.0001,409,1679360,2051.577220179024,1679360,2.5844552516937256,0.1448836624622345,0.2096930593252182,3.229048728942871,-0.22710064053535461,-1.1377553939819336,1.7161778211593628
14,0,-1.116288661956787,-0.5800089240074158,-1.1097323894500732,-1.6472467184066772,0.014243675395846367,0.0,0.0005062500000000001,1.3587675094604492,306.38,8.88,844,0.42749685049057007,0.04778639227151871,-0.06603653728961945,0.0035105645656585693,0.00033750000000000007,419,1720320,2101.082809151965,1720320,2.512103796005249,0.10000000149011612,0.19740712642669678,3.190300226211548,-0.23303739726543427,-1.151223063468933,1.854642629623413
14,0,-1.1072087287902832,-0.3969379663467407,-1.1073806285858154,-1.739562749862671,0.011268852278590202,0.0,0.0007593750000000001,1.3524959087371826,300.34,8.68,842,0.3991853892803192,0.05276457965373993,-0.09570181369781494,0.00338964955881238,0.0005062500000000001,429,1761280,2150.5394891509786,1761280,4.130176544189453,0.10000000149011612,0.5582622289657593,3.5796375274658203,-0.04942141845822334,-1.2261030673980713,2.42459774017334
