JobID|JobName|User|Account|Partition|QOS|State|ExitCode|Submit|Start|End|Elapsed|NodeList|AllocTRES
19409128|pg43-zero-gate|h99859yz|gpu-h200-fse-pgdr|gpuH|gpu-h200-fse|FAILED|1:0|26/08/26 09:48|26/08/26 09:48|26/08/26 09:48|00:00:15|node820|billing=9,cpu=8,energy=60187,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
19409435|pg43-preflight|h99859yz|gpu-h200-fse-pgdr|gpuH|gpu-h200-fse|FAILED|1:0|26/08/26 09:56|26/08/26 09:56|26/08/26 09:56|00:00:14|node820|billing=9,cpu=8,energy=47838,gres/gpu:h200=1,gres/gpu=1,mem=180G,node=1
