action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.8110867738723755,3.525392770767212,-0.834892988204956,-8.893537521362305,0.3977748155593872,0.0,0.5,2.690058708190918,432.0470588235294,3.2117648,810,1.1968446969985962,0.01728837378323078,0.015059705823659897,0.1468471884727478,0.5,9,40960,54.20892206998542,40960,1.4988107681274414,0.10000000149011612,0.4605255722999573,8.440067291259766,0.2245478481054306,-0.8169938921928406,1.0829520225524902
14,0,-0.9637376666069031,4.145185947418213,-1.0380455255508423,-5.232778072357178,0.2623014748096466,0.0,0.5,2.643784999847412,464.21,2.53,799,2.738739490509033,0.009091226384043694,0.06937961280345917,0.1912972331047058,0.5,19,81920,105.83437038108241,81920,3.733168363571167,0.10000000149011612,0.3096154034137726,7.2490410804748535,0.021647712215781212,-1.0257006883621216,1.3020946979522705
14,0,-1.2138005495071411,3.6764650344848633,-1.1996105909347534,-3.4615225791931152,0.1822148859500885,0.0,0.5,2.642740249633789,468.28,3.1,806,0.9681390523910522,0.02271590754389763,-0.009028647094964981,0.08213896304368973,0.5,29,122880,157.06479918397963,122880,2.723726749420166,0.2618105411529541,0.45666176080703735,7.356167793273926,0.26058605313301086,-1.1683533191680908,1.0802171230316162
14,0,-1.3396165370941162,-0.056635987013578415,-1.2795273065567017,-3.9804282188415527,0.09501539170742035,0.0,0.0017127436953908758,2.5925521850585938,445.97,2.3,809,0.39215826988220215,0.06632083654403687,-0.13821949064731598,0.030942922458052635,0.0011418291302605838,39,163840,208.06349908700213,163840,2.3896584510803223,0.10000000149011612,-0.03310653567314148,3.376967191696167,-0.10437201708555222,-1.2687866687774658,0.3588484525680542
14,0,-1.1315586566925049,2.4922938346862793,-1.0968936681747437,-6.276518821716309,0.285994291305542,0.0,0.5,2.606468677520752,569.29,2.36,817,1.5460662841796875,0.019308090209960938,-0.07279526442289352,0.1572990119457245,0.5,49,204800,259.10235191101674,204800,2.1491785049438477,0.32397347688674927,0.8514862656593323,6.318606853485107,0.19950291514396667,-1.0688939094543457,2.5138285160064697
14,0,-1.121337652206421,1.5360397100448608,-1.1140470504760742,-3.009281873703003,0.12319417297840118,0.0,0.5,2.595914840698242,497.56,2.33,815,1.4250831604003906,0.027447838336229324,-0.05663737654685974,0.13683336973190308,0.5,59,245760,310.285056815017,245760,3.5513153076171875,0.36620262265205383,0.880194365978241,5.174987316131592,0.48601749539375305,-1.0900495052337646,1.4735238552093506
14,0,-1.1802570819854736,1.1332366466522217,-1.176250696182251,-3.261911153793335,0.1152753084897995,0.0,0.5,2.5683562755584717,494.73,3.03,812,1.1021764278411865,0.016889214515686035,0.004889119416475296,0.08970929682254791,0.5,69,286720,361.46149414102547,286720,2.753427267074585,0.30944642424583435,0.8827823996543884,4.982528209686279,0.49843835830688477,-1.1470918655395508,1.4181679487228394
14,0,-1.1846120357513428,1.3048497438430786,-1.213079810142517,-3.612611770629883,0.10569372028112411,0.0,0.3333333333333333,2.4980807304382324,505.84,3.16,817,0.5342650413513184,0.038118720054626465,0.06327534466981888,0.02378433756530285,0.3333333333333333,79,327680,412.54578962503,327680,2.948214292526245,0.168442502617836,0.1979101449251175,4.644885540008545,-0.26383328437805176,-1.1999351978302002,1.2538337707519531
14,0,-1.2596871852874756,1.1411629915237427,-1.2541306018829346,-4.103270530700684,0.13778738677501678,0.0,0.5,2.532454013824463,454.42,4.53,815,1.0608950853347778,0.026537079364061356,-0.01589721441268921,0.08844451606273651,0.5,89,368640,463.5434126909822,368640,2.8091046810150146,0.34059467911720276,0.6510723233222961,4.5354204177856445,0.11756698787212372,-1.2198339700698853,1.7766555547714233
14,0,-1.2439725399017334,0.5624374747276306,-1.2328187227249146,-2.4431135654449463,0.03449932858347893,0.0,0.00385367331462947,2.4648778438568115,424.31,4.2,813,0.4345947504043579,0.07932746410369873,-0.14633436501026154,0.009720074012875557,0.0025691155430863136,99,409600,514.4037003980484,409600,8.751457214355469,0.10000000149011612,-0.05370383337140083,4.34718132019043,-0.35318925976753235,-1.2110861539840698,1.183759093284607
14,0,-1.2589439153671265,0.6391316056251526,-1.2178151607513428,-2.842794418334961,0.0579160675406456,0.0,0.01950922115531169,2.5363309383392334,463.61,3.12,816,0.5064743161201477,0.06195126846432686,-0.12371876835823059,0.013468550518155098,0.013006147436874461,109,450560,565.4430180239724,450560,2.495133876800537,0.10746876150369644,-0.022528283298015594,3.8697879314422607,-0.4566332697868347,-1.1958439350128174,1.292734146118164
14,0,-1.2317237854003906,0.4914298951625824,-1.2012211084365845,-4.541275978088379,0.07849700003862381,0.0,0.2222222222222222,2.490206241607666,459.01,4.2,798,0.5517400503158569,0.05096028000116348,-0.11641570180654526,0.02769067883491516,0.14814814814814814,119,491520,616.6117496259976,491520,2.4531702995300293,0.1215219646692276,0.42223411798477173,4.277296543121338,-0.2671007215976715,-1.1793771982192993,2.0525310039520264
14,0,-1.1612775325775146,1.2050830125808716,-1.1756277084350586,-2.8274943828582764,0.06771686673164368,0.0,0.14814814814814806,2.451211929321289,440.52,4.26,814,0.5495768189430237,0.03701711446046829,-0.0012221075594425201,0.019652441143989563,0.14814814814814806,129,532480,667.6524419590132,532480,2.7215442657470703,0.31413355469703674,0.1919674575328827,3.8192780017852783,-0.3819868564605713,-1.1691213846206665,1.613817572593689
14,0,-1.1129319667816162,1.354622483253479,-1.1484911441802979,-2.8827872276306152,0.0651257187128067,0.0,0.005780509971944205,2.410975694656372,457.84,4.15,811,0.4900161027908325,0.06615132838487625,-0.0689321756362915,0.019905976951122284,0.00385367331462947,139,573440,718.8407364410814,573440,4.867331027984619,0.15043392777442932,0.19224496185779572,4.0064005851745605,-0.5300416946411133,-1.1933262348175049,1.7595776319503784
14,0,-1.1209203004837036,1.8999561071395874,-1.112849473953247,-3.590951919555664,0.07872144877910614,0.0,0.00385367331462947,2.4737162590026855,405.99,4.33,807,0.465160071849823,0.061663392931222916,-0.05326469615101814,0.02184043452143669,0.0025691155430863136,149,614400,770.1578207589919,614400,3.643325090408325,0.10000000149011612,-0.2845301330089569,3.6415395736694336,-0.740324854850769,-1.1374280452728271,1.3451817035675049
14,0,-1.058362603187561,0.6361355185508728,-1.0691627264022827,-2.741854190826416,0.036077819764614105,0.0,0.013006147436874454,2.3586158752441406,362.25,4.53,809,0.41028276085853577,0.05104898661375046,-0.006280526518821716,0.007331277243793011,0.008670764957916303,159,655360,821.2965053110383,655360,2.806201219558716,0.10000000149011612,-0.11978601664304733,3.7091822624206543,-0.7308349013328552,-1.1543519496917725,2.055238723754883
14,0,-1.0217301845550537,0.7270986437797546,-1.0258175134658813,-3.4865469932556152,0.0553705133497715,0.0,0.0007612194201737219,2.3995728492736816,370.62,4.99,812,0.44189760088920593,0.061046164482831955,-0.11299338191747665,0.023166969418525696,0.000507479613449148,169,696320,872.4065492440714,696320,2.7780561447143555,0.10000000149011612,0.028085533529520035,3.4740049839019775,-0.7454387545585632,-1.034835934638977,2.220506429672241
