action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,critic_ratio_max,critic_ratio_min,critic_rows,critic_trust_reason,critic_trust_update_count_this_rollout,critic_trust_update_count_total,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,joint_actor_critic_cross_frobenius,joint_actor_fisher_quadratic,joint_actor_raw_scale,joint_actor_rhs_norm,joint_applied_solve_residual,joint_cholesky_info_max,joint_clip_scale,joint_critic_actor_cross_frobenius,joint_critic_ggn_quadratic,joint_critic_objective_coef,joint_critic_raw_scale,joint_critic_rhs_norm,joint_cross_block_frobenius,joint_direction_l2,joint_finite_scan_pass,joint_jacobi_scale_max,joint_jacobi_scale_min,joint_kernel_mode,joint_linear_solve_dtype,joint_normalized_value_prediction_change_rms,joint_optimizer_state_entries,joint_parameter_columns,joint_policy_delta_l2,joint_popart_std,joint_predicted_critic_divergence,joint_predicted_step_kl,joint_raw_value_prediction_change_rms,joint_relative_solve_residual,joint_shared_delta_l2,joint_solve_residual,joint_solver_mode,joint_system_rows,joint_value_delta_l2,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,optimizer_history_correction,optimizer_momentum,optimizer_momentum_semantics,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
14,0,-0.011386275291442871,29.568981170654297,-0.13458800315856934,-0.26534464955329895,2.157320261001587,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,10,0.004,2.694384813308716,55.69,0.01,625,0.5838139057159424,1.398619063324855,0.5551531910896301,46.23653030395508,22.627416610717773,1.486188021996154e-13,0,0.8566574454307556,1.398619063324855,0.3450716733932495,1.0,9.229291915893555,37.555118560791016,1.398619063324855,0.5836638808250427,1.0,1.4137532804608433,1.409357151555909,exact_deterministic_ggn_2b,torch.float64,0.002011312870308757,26,938976,0.0006526121869683266,0.03365679830312729,2.025880121436785e-06,3.25924702337943e-06,6.769435276510194e-05,5.465945031997653e-16,0.0017467974685132504,1.9069598807892865e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0007230363553389907,0.0005835465271957219,-0.0017053373157978058,2.754661798477173,0.004,9,40960,66.84125257097185,40960,1.0,1e-06,paper_sgd_momentum_1e-6,1.0728367567062378,0.9541002511978149,0.11317944526672363,29.697940826416016,-0.012279076501727104,-0.12299329787492752,2.1587116718292236
14,0,-0.12775777280330658,7.2814483642578125,-0.1651155799627304,-0.45109647512435913,0.27669456601142883,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,20,0.004,2.6323843002319336,80.23,0.03,625,0.6867772340774536,3.6775889303887985,4.188774108886719,134.31394958496094,22.627416610717773,8.979318466336965e-14,0,0.7217773795127869,3.6775889303887985,0.2857242226600647,1.0,34.82638931274414,13.827428817749023,3.6775889303887985,0.6927343606948853,1.0,1.4132402954595673,1.4029891645380257,exact_deterministic_ggn_2b,torch.float64,0.0015245055546984076,26,938976,0.0009084444609470665,0.13427211344242096,1.190813236462418e-06,1.7457559806643985e-05,0.00020469857554417104,4.236280395821212e-16,0.0017625855980440974,9.472893919252505e-14,symmetrized_jacobi_fullfp64_chunked,1024,0.00026077328948304057,0.002207893179729581,0.0010210294276475906,0.3734332025051117,0.004,19,81920,132.33316932991147,81920,1.0,1e-06,paper_sgd_momentum_1e-6,1.125340223312378,0.8507434129714966,0.09810200333595276,7.4940595626831055,0.03514377400279045,-0.15556572377681732,0.27311068773269653
14,0,-0.2256649136543274,5.094181537628174,-0.2696896493434906,-1.063906192779541,0.45709145069122314,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,30,0.004,2.5479354858398438,96.83,0.24,624,0.9014976620674133,14.026154446167164,9.093221664428711,199.74917602539062,22.627416610717773,9.832950913312744e-14,0,0.5594813227653503,14.026154446167164,8.408893585205078,1.0,76.47093963623047,11.717719078063965,14.026154446167164,0.8936848640441895,1.0,1.412140280884243,1.3982192856367543,exact_deterministic_ggn_2b,torch.float64,0.0065928916446864605,26,938976,0.0008793362649157643,0.18778851628303528,2.1057170670246705e-05,2.2770833311369643e-05,0.001238069380633533,4.82808852805742e-16,0.0016457003075629473,1.0376984316670152e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0007200194522738457,0.005510839633643627,0.005671650171279907,0.2681736946105957,0.004,29,122880,197.63417745986953,122880,1.0,1e-06,paper_sgd_momentum_1e-6,1.235111117362976,0.8365709781646729,0.4421573281288147,5.779738426208496,0.32854464650154114,-0.228449746966362,0.459349125623703
14,0,-0.33120235800743103,36.216827392578125,-0.37213948369026184,-2.074084758758545,3.6316585540771484,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,40,0.004,2.308424711227417,99.89,0.52,627,1.9024020433425903,41.51115490813177,63.45276641845703,479.1266784667969,22.627416610717773,1.8799904802319547e-13,0,0.26579830050468445,41.51115490813177,0.6368613839149475,1.0,237.3137969970703,38.859344482421875,41.51115490813177,1.8811256885528564,1.0,1.4028912910153903,1.3695764519178497,exact_deterministic_ggn_2b,torch.float64,0.0006734271300956607,26,938976,0.0009937819559127092,0.2878340780735016,3.599476201543439e-07,3.586286402423866e-05,0.0001938352797878906,6.817466911601212e-16,0.0016541593940928578,2.1883465281417532e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0005255070282146335,0.008972333744168282,0.00038742832839488983,2.9493136405944824,0.004,39,163840,263.3329869201407,163840,1.0,1e-06,paper_sgd_momentum_1e-6,1.3145829439163208,0.7773319482803345,0.9921178817749023,37.90869140625,0.753614068031311,-0.30776989459991455,3.791261911392212
14,0,-0.30210888385772705,33.05038070678711,-0.4235529601573944,-1.7691560983657837,2.8941919803619385,0.0,1.0,1.0,512,IN_BAND_UNCHANGED,1,50,0.004,2.328305244445801,91.1,0.37,625,1.0473111867904663,31.804231682273247,55.97017288208008,588.6882934570312,22.62741470336914,9.477912940143975e-14,0,0.4762585163116455,31.804231682273247,20.626914978027344,1.0,272.4945373535156,14.90356159210205,31.804231682273247,1.0498499870300293,1.0,1.407841106685179,1.3705021670566724,exact_deterministic_ggn_2b,torch.float64,0.009076250717043877,26,938976,0.0008999949786812067,0.3178407847881317,3.7429137591971084e-05,0.00010156221833312884,0.0028848026413470507,4.375750072588156e-16,0.0017343993531540036,1.2354000035754324e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00042645848589017987,0.016065159812569618,-0.006005290895700455,0.43382060527801514,0.004,49,204800,328.76681918185204,204800,1.0,1e-06,paper_sgd_momentum_1e-6,1.2701605558395386,0.6450806260108948,0.5437766909599304,34.20207595825195,0.24854342639446259,-0.40644752979278564,3.0375282764434814
14,0,-0.5387712717056274,1.8420361280441284,-0.5037834644317627,-2.3219330310821533,0.08140058070421219,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,60,0.004,2.236769676208496,145.83,0.15,633,1.0133618116378784,60.64529519020294,68.92999267578125,1298.2216796875,22.627416610717773,1.1537992971202736e-13,0,0.5071549415588379,60.64529519020294,0.8037184476852417,1.0,790.4171142578125,5.988250732421875,60.64529519020294,0.9858919978141785,1.0,1.4023289640182268,1.2146720194534817,exact_deterministic_ggn_2b,torch.float64,0.0021234804298728704,26,938976,0.0007211596239358187,0.34854811429977417,1.6537705960217863e-06,0.00014183374878484756,0.0007401350885629654,6.145962433291036e-16,0.0018571035470813513,1.2274628718668104e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00017631893570069224,0.027319500222802162,-0.02039121463894844,0.07003739476203918,0.004,59,245760,393.99083903897554,245760,1.0,1e-06,paper_sgd_momentum_1e-6,2.027977228164673,0.7431124448776245,0.6147279143333435,2.4195568561553955,0.8739182949066162,-0.4766332805156708,0.3540197014808655
14,0,-0.4746074080467224,25.330692291259766,-0.5464724898338318,-2.797668933868408,1.8175828456878662,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,70,0.004,2.2788782119750977,89.39,0.18,613,1.8574362993240356,122.38362063781273,113.232666015625,2416.179443359375,22.62741470336914,7.590979000652165e-13,0,0.26860523223876953,122.38362063781273,48.0967903137207,1.0,1534.866455078125,47.622562408447266,122.38362063781273,1.8614678382873535,1.0,1.3833350605281012,1.2504452703260898,exact_deterministic_ggn_2b,torch.float64,0.006773775443434715,26,938976,0.0005098722758702934,0.39548027515411377,2.7760997909354046e-05,6.5356791310478e-05,0.0026788946706801653,2.104547298234014e-15,0.001837833900935948,7.582903906532259e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0006019902648404241,0.008349385112524033,-0.008053261786699295,4.429508686065674,0.004,69,286720,459.2977720829658,286720,1.0,1e-06,paper_sgd_momentum_1e-6,1.3138315677642822,0.7852234244346619,0.713880717754364,27.32259750366211,0.7516210079193115,-0.5045644640922546,2.3840150833129883
14,0,-0.4739513397216797,23.60709571838379,-0.5562875270843506,-2.304178237915039,1.5269274711608887,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,80,0.004,2.3684592247009277,116.81,0.31,629,1.3534144163131714,91.16201369629657,58.13276672363281,2274.03759765625,22.627416610717773,1.9715777116519706e-13,0,0.36608660221099854,91.16201369629657,4.283607482910156,1.0,1275.7513427734375,12.063151359558105,91.16201369629657,1.3657970428466797,1.0,1.377575005200023,1.2162771409622466,exact_deterministic_ggn_2b,torch.float64,0.0029521931428462267,26,938976,0.0005094407242722809,0.42736321687698364,4.5926922211947385e-06,6.232735177036375e-05,0.0012616587337106466,9.989343150028327e-16,0.00191857002209872,1.911823703343947e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.00024403512361459434,0.012452851980924606,-0.004665248095989227,0.2842180132865906,0.004,79,327680,524.5642219958827,327680,1.0,1e-06,paper_sgd_momentum_1e-6,1.3537745475769043,0.722420334815979,0.3738410174846649,25.214155197143555,0.11633710563182831,-0.5250737071037292,1.8804943561553955
14,0,-0.6076465249061584,1.7670141458511353,-0.6044716238975525,-1.994643211364746,0.08126525580883026,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,90,0.004,2.3320364952087402,119.13,0.12,635,1.3541306257247925,115.58656757244127,35.72303009033203,2686.7822265625,22.627416610717773,1.7166815752677623e-13,0,0.37209370732307434,115.58656757244127,1.18258535861969,1.0,1575.175048828125,7.119665622711182,115.58656757244127,1.3437474966049194,1.0,1.3888364502336399,1.1863079958712401,exact_deterministic_ggn_2b,torch.float64,0.0015083897160366178,26,938976,0.00048425779095850885,0.42471763491630554,1.309867002419196e-06,3.956789805670269e-05,0.0006406396860256791,9.044964125705045e-16,0.0019361639861017466,1.7959290540846846e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0001294563990086317,0.024149537086486816,-0.0027553290128707886,0.09900319576263428,0.004,89,368640,589.5433066510595,368640,1.0,1e-06,paper_sgd_momentum_1e-6,1.698492407798767,0.7003054022789001,0.3396603465080261,2.536085367202759,0.5153212547302246,-0.5681045651435852,0.24049566686153412
14,0,-0.6255089640617371,1.7570050954818726,-0.622809112071991,-2.169754981994629,0.1534028947353363,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,100,0.004,2.387230157852173,121.19,0.26,632,1.2507177591323853,102.9245595818878,74.27464294433594,2487.38330078125,22.627416610717773,1.553522186208552e-13,0,0.39577212929725647,102.9245595818878,8.890467643737793,1.0,1477.697265625,7.552694320678711,102.9245595818878,1.2633532285690308,1.0,1.3850039926689153,1.1626205952621986,exact_deterministic_ggn_2b,torch.float64,0.004733982030302286,26,938976,0.0005226887296885252,0.4229312241077423,1.1140508831886109e-05,9.307241271017119e-05,0.002002148889005184,8.123061759782353e-16,0.0019232066115364432,1.5780168255148466e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.000167539095855318,0.04407903552055359,-0.01425459049642086,0.11141248047351837,0.004,99,409600,654.5462587568909,409600,1.0,1e-06,paper_sgd_momentum_1e-6,1.681018590927124,0.4432775378227234,0.1753082126379013,3.145552635192871,0.13846254348754883,-0.5896728038787842,0.2698172926902771
14,0,-0.6712058186531067,1.7880451679229736,-0.6691770553588867,-2.022876024246216,0.15382511913776398,0.0,1.0,1.0,512,BELOW_0P005_DIVIDE_1P5,1,110,0.004,2.3831729888916016,103.08,0.13,632,1.1423277854919434,131.76218018302788,27.254741668701172,3067.62451171875,22.627416610717773,1.9216180650431709e-13,0,0.4349936842918396,131.76218018302788,2.9385502338409424,1.0,2009.94580078125,8.952404022216797,131.76218018302788,1.1494419574737549,1.0,1.378977602155011,1.1436256770317554,exact_deterministic_ggn_2b,torch.float64,0.0028341214638203382,26,938976,0.0005531361675821245,0.41600173711776733,4.4482485463959165e-06,4.125703344470821e-05,0.0011789994314312935,1.164064590592536e-15,0.0019063734216615558,1.9293989831827502e-13,symmetrized_jacobi_fullfp64_chunked,1024,0.0002444947313051671,0.011104920879006386,-0.010091218166053295,0.15653425455093384,0.004,109,450560,719.9061843631789,450560,1.0,1e-06,paper_sgd_momentum_1e-6,1.320298433303833,0.6966264247894287,0.2645283341407776,3.057361125946045,0.312826007604599,-0.6749655604362488,0.29041048884391785
